name,duration,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars,genre
山丘,405,49,Jonathan Lee,山丘,0.591,0.604,3,-8.625,0.0766,0.358,1.89e-05,0.0748,0.23,141.94,954.0,241.0,mandopop
The Question Is What Is the Question? - Remastered,226,10,Scooter,Jumping All over the World (20 Years of Hardcore Expanded Edition) [Remastered],0.582,0.973,7,-3.916,0.0405,0.0114,0.184,0.278,0.911,142.041,530.0,132.0,happy
Ô Neguinha,180,36,Aldair Playboy,Pra Ouvir no Paredão,0.788,0.775,4,-1.776,0.0331,0.577,0.0194,0.0506,0.942,130.012,386.0,97.0,forro
Me Namora,204,43,Aviões do Forró;Caviar Com Rapadura,"Aviões do Forró, Vol. 3",0.597,0.902,0,-5.983,0.06,0.614,0.0,0.235,0.865,172.095,584.0,146.0,forro
Cold Wind,155,0,Mile Twelve,Roll the Tapes All Night Long,0.306,0.713,4,-8.131,0.0365,0.419,0.00875,0.319,0.673,174.229,444.0,111.0,bluegrass
Estando Contigo,151,20,Los Soberanos,Maratón Ye-Yé,0.239,0.9,9,-5.282,0.0751,0.43,0.0,0.0379,0.868,198.378,492.0,122.0,spanish
Cosmovision,213,55,ANNA;Ravid,Unity Pt. 3,0.644,0.757,1,-8.204,0.0388,0.0677,0.864,0.103,0.0462,128.017,444.0,110.0,techno
Cold Virginia Rain,171,23,Josh Williams;Missy Raines;Randy Kohrs;Don Rigsby;Kristin Scott Benson;Ron Stewart,Lonesome Highway,0.639,0.76,5,-6.006,0.03,0.125,0.000142,0.254,0.837,109.859,303.0,75.0,bluegrass
"5, 4, 3, 2, 1, Blast! - Original Mix",278,10,Colombo,Abandoned Factory,0.729,0.922,0,-3.441,0.0838,0.00186,0.815,0.0617,0.587,125.046,580.0,144.0,breakbeat
心酸的情歌,248,0,巫啟賢,Best Cantopop Tunes,0.633,0.702,4,-9.523,0.0448,0.267,0.0,0.103,0.603,128.003,479.0,120.0,mandopop
Why Not (Original Mix) - Extended Mix,298,0,The Prophet,The Hardcore Archive Part 3 (1997),0.454,0.892,0,-7.687,0.0349,3.14e-05,0.903,0.101,0.0357,94.956,465.0,116.0,happy
Was I Not Good Enough?,145,0,omarr;Mia Smith,Lonely,0.642,0.251,1,-13.259,0.0633,0.943,0.0013,0.265,0.111,127.024,302.0,75.0,sleep
Cry Osaka Cry,308,0,Arovane,Lilies,0.625,0.718,6,-9.264,0.0417,0.0783,0.895,0.104,0.727,97.988,494.0,123.0,idm
Blinking,167,14,Casino Versus Japan,Echo Counting,0.562,0.528,11,-14.256,0.0775,0.148,0.882,0.13,0.552,87.924,239.0,59.0,idm
Tout est fragile,255,13,Lo'Jo;Vincent Ségal;Robert Wyatt,Cinéma El Mundo,0.66,0.57,0,-8.677,0.0612,0.473,0.0,0.0687,0.808,120.104,512.0,127.0,afrobeat
Viidakossa nukkuu Jellona,84,20,Antti Paakkonen;Pasi Ruohonen,Leijonakuningas (Alkuperäinen Suomalainen Soundtrack),0.691,0.363,5,-14.357,0.138,0.776,0.0,0.107,0.926,138.044,185.0,46.0,disney
Dominate,413,10,Drumattic Twins,Feelin Kinda Strange,0.762,0.841,11,-7.631,0.0927,0.000418,0.781,0.166,0.266,134.986,922.0,232.0,breakbeat
Weck mich nicht auf - Tom Tigo RMX,224,21,Mia Julia;Tom Tigo,Weck mich nicht auf (Tom Tigo RMX),0.687,0.962,6,-4.995,0.0397,0.0063,0.0,0.4,0.354,133.0,491.0,123.0,happy
うちのばあちゃんの言うことにゃ,123,17,Rei Harakami,広い世界 と せまい世界,0.617,0.524,9,-10.465,0.0316,0.943,0.97,0.305,0.954,115.157,229.0,57.0,idm
Casinha La do Fundo,194,40,Soró Silva,Casinha La do Fundo,0.677,0.833,6,-3.52,0.0408,0.368,0.0,0.0715,0.816,174.027,561.0,139.0,forro
Aeon of achamenid,337,0,Helzgloriam,Decapitated mystics of the serpent,0.119,0.916,6,-4.052,0.0573,1.2e-05,0.481,0.0578,0.136,154.964,832.0,208.0,iranian
Be Rude To Your School,208,0,Plone,For Beginner Piano,0.503,0.421,11,-7.421,0.0315,0.00274,0.309,0.0818,0.298,121.928,417.0,103.0,idm
Common Sunflower,99,45,Lekie Low,Common Sunflower,0.799,0.484,11,-8.4,0.0907,0.722,0.916,0.0903,0.552,87.02,143.0,34.0,study
Dewdrop,154,11,Jobii,Dewdrop,0.485,0.578,4,-9.5,0.0567,0.689,0.948,0.147,0.0623,142.012,357.0,118.0,study
The Way I Are,187,0,Bebe Rexha;Lil Wayne,New RnB,0.462,0.659,2,-6.077,0.114,0.00282,0.0,0.273,0.358,186.149,571.0,143.0,breakbeat
Shirt Da Button,398,42,Kailash Kher,Kyaa Super Kool Hain Hum,0.468,0.867,4,-6.239,0.126,0.0582,0.0,0.222,0.834,83.884,546.0,136.0,indian
Levantaremos al sol,223,55,Álvaro De Luna,Levantaremos al sol,0.572,0.777,1,-3.899,0.0808,0.0029,0.0,0.0742,0.703,124.829,450.0,113.0,spanish
The Ansaphone,345,12,Jonny L,Ooh I Like It,0.624,0.876,11,-7.885,0.0426,0.00955,0.818,0.0992,0.322,149.982,858.0,215.0,industrial
Dansaki,324,44,Lara George,Higher,0.701,0.94,4,-2.963,0.0497,0.0619,0.0288,0.0962,0.945,139.497,752.0,250.0,afrobeat
"Ya Rabba (From ""Salaam-E-Ishq"")",418,53,Kailash Kher,Best Of Kailash Kher,0.648,0.414,2,-10.933,0.0314,0.26,1.72e-05,0.0748,0.583,143.971,995.0,249.0,indian
再度重相逢,209,45,Wu Bai,淚橋,0.649,0.59,0,-5.164,0.024,0.00137,0.0,0.129,0.731,99.984,339.0,84.0,mandopop
Fronteira (D.U.C.A.),331,45,O Rappa,Nunca Tem Fim (Standard),0.555,0.921,10,-5.541,0.104,0.253,3.31e-06,0.101,0.814,177.986,980.0,247.0,brazil
I Wish I Was A Hipster WCL-F Remix - West Coast Lo-Fi Remix,91,13,Bassnectar;West Coast Lo-Fi,Cozza Frenzy,0.58,0.642,6,-6.986,0.0647,0.357,0.785,0.0798,0.0504,115.0,159.0,39.0,breakbeat
Joint,164,6,Type.Raw;Loot Fattig,Bombed in the Blunt Shelter,0.549,0.396,5,-9.096,0.0689,0.749,0.8,0.0769,0.591,87.614,235.0,58.0,study
The Presence Is Ominous,294,18,Borknagar,Quintessence,0.164,0.856,9,-4.534,0.0599,2.66e-06,0.0247,0.24,0.163,130.919,632.0,159.0,black-metal
Cenáculo de Amor,244,48,Walmir Alencar,Misericórdia Infinita,0.617,0.354,9,-9.965,0.0352,0.483,0.0,0.2,0.579,184.181,732.0,182.0,brazil
Ojala,236,58,Fondo Flamenco,Todo un Gran Éxito,0.639,0.888,11,-4.671,0.106,0.233,0.0,0.0965,0.859,165.93,628.0,157.0,spanish
No One Like Our God,249,44,Lincoln Brewster,No One Like Our God,0.525,0.718,2,-5.464,0.0433,0.0427,0.0,0.147,0.288,90.016,370.0,92.0,mandopop
Bliss,331,0,Farzad Golpayegani,Eight,0.537,0.957,11,-4.69,0.0457,0.00146,0.895,0.325,0.799,138.001,752.0,190.0,iranian
Giant,272,11,The Chemical Brothers,Believe,0.892,0.954,6,-4.641,0.0333,0.000981,0.78,0.124,0.928,121.989,545.0,136.0,breakbeat
Águas de Março,179,22,Orquestra Brasileira de Música Jamaicana,Volume I,0.851,0.498,5,-7.259,0.0427,0.741,0.888,0.162,0.896,129.1,386.0,96.0,afrobeat
Dame Amor,308,28,Magneto,10 De Colección,0.636,0.412,1,-12.404,0.0303,0.173,0.0,0.112,0.327,114.037,577.0,143.0,spanish
MZ,381,48,Sascha Funke,IFA,0.666,0.321,1,-11.083,0.0843,0.000576,0.798,0.0905,0.399,119.999,758.0,191.0,techno
Indiferença / Está Noite Foi Maravilhosa / Não Olhe Assim / Meiga Senhorita,415,38,Dan Ventura,Seresta do Dan Ventura,0.922,0.671,2,-4.844,0.043,0.0873,0.0,0.255,0.96,127.988,882.0,219.0,forro
Riverbound,202,36,Comaduster;Mari Kattman,Darker Matter (Deluxe Edition),0.451,0.388,9,-14.048,0.0363,0.108,0.0687,0.139,0.127,137.848,464.0,155.0,idm
Shut Your Mouth,192,50,Pain,Nothing Remains The Same,0.562,0.912,2,-4.461,0.0383,0.0032,0.0,0.115,0.55,120.021,384.0,95.0,industrial
ウルトラデラックススーパーストーリー,230,20,Phenotas,いい感じ！～どれにしようかな～,0.741,0.903,0,-5.115,0.0514,0.0167,0.000348,0.128,0.968,135.972,512.0,129.0,j-idol
Me Atraiu - Acústico,202,0,Gabriel Brito;Filipe Lancaster,Me Atraiu (Acústico),0.587,0.214,8,-10.045,0.0273,0.773,0.0,0.11,0.217,139.847,460.0,113.0,brazil
Dysentery!,312,0,Confess,In Pursuit of Dreams,0.466,0.981,9,-1.142,0.0797,0.00142,7.21e-05,0.0861,0.226,127.014,654.0,164.0,iranian
Batom de Ouro (Versão Grave),140,22,Os Barões Da Pisadinha,Paredão Explode,0.715,0.607,6,-7.759,0.0626,0.0232,0.0,0.168,0.409,171.993,396.0,99.0,forro
"1,000 Names",344,41,Phil Wickham,Hymn of Heaven,0.47,0.693,10,-5.803,0.0443,0.153,0.0,0.115,0.115,129.139,724.0,182.0,afrobeat
Raatein,225,47,Jasleen Royal,Shivaay,0.653,0.401,5,-12.029,0.0279,0.893,0.143,0.109,0.311,129.988,481.0,120.0,indian
Barravenida,297,22,BaianaSystem,BaianaSystem,0.646,0.651,7,-10.789,0.0328,0.0025,0.739,0.17,0.672,133.985,658.0,165.0,afrobeat
The Stardust Memory,232,37,Kyoko Koizumi,The Stardust Memory,0.623,0.698,3,-5.808,0.0271,0.0244,0.000168,0.355,0.502,143.318,544.0,135.0,techno
Don't Hate The 808 (feat. Lafa Taylor),197,37,Bassnectar;Lafa Taylor,Noise vs Beauty,0.511,0.97,5,-2.299,0.0531,0.000337,1.39e-05,0.402,0.27,160.044,513.0,130.0,breakbeat
deep fake,213,0,Architects,deep fake,0.505,0.854,6,-4.167,0.0851,0.000101,0.00325,0.0556,0.319,96.023,341.0,84.0,black-metal
Deus dos Deuses,272,47,Lauriete,Tô Na Mão de Deus,0.354,0.75,3,-4.373,0.0506,0.364,0.0,0.0875,0.487,149.673,589.0,147.0,brazil
Under the Sea,233,11,Serph,Disney Glitter Melodies,0.533,0.484,10,-13.175,0.0356,0.685,0.501,0.147,0.229,92.982,356.0,88.0,idm
Breadth Digit (Glass Lung),115,0,Ata Ebtekar,Persian Electronic Music Yesterday And Today1966-2006,0.329,0.649,1,-10.623,0.11,0.971,0.869,0.103,0.136,132.506,251.0,83.0,iranian
Ami Je Tomar (Kartik X Vidya),372,43,Pritam;Arijit Singh;Shreya Ghoshal,Ami Je Tomar (Kartik X Vidya),0.682,0.923,8,-5.048,0.0591,0.436,0.0,0.358,0.734,115.98,715.0,179.0,indian
Reek of the Pigs - Original Mix,278,0,Chaos Descent,Reek Of The Pigs,0.543,0.928,7,-4.922,0.0568,0.000278,1.77e-06,0.34,0.298,100.01,462.0,115.0,iranian
Packard - Blomqvist & Schories Sunrise Mix,361,45,Oliver Schories;Jan Blomqvist,Packard,0.507,0.615,1,-10.687,0.148,0.0202,0.521,0.115,0.142,122.89,722.0,183.0,techno
幸福過敏,201,22,詹雅雯,幸福過敏,0.494,0.272,7,-6.678,0.0306,0.755,0.0,0.216,0.319,76.966,252.0,63.0,mandopop
Garota de Cinema,259,42,Forró Boys,"Forró di Katiguria, Vol. 3",0.577,0.849,6,-4.483,0.0389,0.0709,0.0,0.133,0.932,185.957,804.0,200.0,forro
Cheap Reward,190,28,The Devil Makes Three,Do Wrong Right,0.66,0.559,9,-8.0,0.0356,0.484,3.65e-05,0.102,0.887,105.774,320.0,105.0,bluegrass
Sixteen Going On Seventeen,200,52,Charmian Carr;Dan Truhitte,The Sound Of Music (Original Soundtrack Recording),0.488,0.133,8,-15.865,0.0362,0.895,0.0,0.0595,0.289,128.123,403.0,101.0,disney
真的傻 (電影《一吻定情》追愛版主題曲),256,2,LaLa Hsu,真的傻 (電影《一吻定情》追愛版主題曲),0.522,0.383,4,-10.962,0.0285,0.714,1.67e-05,0.106,0.332,150.018,636.0,158.0,mandopop
Descendência,337,50,Pedro Henrique,Descendência,0.525,0.665,11,-5.225,0.0443,0.0727,0.0,0.314,0.503,119.894,670.0,168.0,brazil
Eternity,380,49,Joachim Pastor,Eternity,0.8,0.699,7,-8.639,0.0353,0.0714,0.902,0.0927,0.282,123.997,783.0,195.0,techno
Desde Brasil,232,60,Café Quijano,La taberna del Buda,0.631,0.879,6,-5.476,0.0324,0.329,0.000378,0.0805,0.847,156.12,603.0,150.0,spanish
The Ballad of the Radio Blossom,196,10,Casino Versus Japan,Frozen Geometry,0.198,0.538,9,-8.689,0.035,0.183,0.999,0.148,0.241,99.331,314.0,77.0,idm
Playtime,316,3,Pal Joey,Pal Joey Presents Hot Music,0.786,0.641,4,-7.249,0.0754,0.000559,0.451,0.0994,0.321,116.954,612.0,154.0,chicago-house
Me Sabe Mal - Remix,196,58,MARLENA;Bombai,Me Sabe Mal (Remix),0.701,0.813,7,-5.097,0.0517,0.0735,0.0,0.274,0.797,99.117,321.0,107.0,spanish
Salão de Festa a Vapor,239,45,Dazaranha,Nossa Barulheira,0.877,0.681,9,-4.754,0.0346,0.261,3.08e-06,0.312,0.919,112.0,441.0,109.0,brazil
Corners,287,0,Siavash Amini;Hessam Ohadi;Nima Pourkarimi,Spotty Surfaces,0.21,0.631,0,-11.921,0.0823,0.0539,0.829,0.14,0.153,199.885,927.0,234.0,iranian
Rockemillion,128,16,Isengard,Vårjevndøgn,0.157,0.94,11,-7.582,0.0966,0.00159,0.905,0.445,0.238,155.425,320.0,80.0,black-metal
Never Stay Around,209,26,Vybz Kartel,Never Stay Around,0.586,0.726,0,-4.743,0.0932,0.118,0.0,0.0384,0.559,172.224,590.0,146.0,j-dance
Alô,139,41,Danieze Santiago;Devinho Novaes,Alô,0.81,0.701,11,-4.531,0.033,0.544,0.0,0.152,0.695,127.994,295.0,74.0,forro
Papaw Taught Me,139,22,Blue Moon Rising,On The Rise,0.647,0.729,7,-7.56,0.0304,0.307,0.00324,0.142,0.925,111.764,247.0,62.0,bluegrass
Ahí Estás Tú,330,2,Chambao,Éxitos del Pop en Español de los Años 2000,0.57,0.874,4,-3.766,0.0529,0.0782,0.0645,0.0745,0.39,175.811,957.0,240.0,spanish
Badder Badder Schwing,206,36,Freddy Fresh;Fatboy Slim,Badder Badder Schwing,0.593,0.993,6,-5.461,0.103,0.0618,0.783,0.164,0.474,150.367,510.0,127.0,breakbeat
Back to Ghetto - Original Mix,352,10,Paul Johnson,Second Coming 20th Years Anniversary Edition,0.784,0.956,1,-9.748,0.0474,0.22,0.837,0.105,0.207,127.379,744.0,186.0,chicago-house
Ever Now,98,54,Gesaffelstein,Hyperion,0.658,0.373,1,-12.473,0.0399,0.197,0.89,0.131,0.0372,107.995,172.0,42.0,techno
Sandsings - Stylophone mix,290,0,Mira Calix,Pin Skeeling,0.468,0.699,9,-6.992,0.133,0.0514,0.252,0.107,0.222,163.239,618.0,155.0,idm
When I,244,21,DJ Zinc,"Crackhouse, Vol. 3",0.759,0.927,7,-3.969,0.051,0.0145,0.39,0.0639,0.655,127.001,515.0,130.0,j-dance
Lizzy's delights - 2021 Remastered,282,15,arai tasuku;hatis noit,Sin of Children: re,0.245,0.679,7,-6.741,0.0691,0.0332,0.00659,0.175,0.263,110.423,462.0,153.0,idm
一派輕鬆,210,53,許光漢,許光漢,0.574,0.521,6,-5.912,0.0344,0.751,0.0,0.109,0.262,137.88,474.0,119.0,mandopop
Kill You Tonight - Reprise,428,25,Type O Negative,The Origin of the Feces (2007 Reissue),0.248,0.683,2,-12.139,0.113,0.000932,0.0344,0.394,0.0398,95.483,760.0,190.0,industrial
Best Love,261,23,Steve Martin;Steep Canyon Rangers;Paul McCartney,Rare Bird Alert,0.655,0.486,9,-10.748,0.0258,0.785,0.000255,0.0854,0.802,104.997,452.0,112.0,bluegrass
Dil Mera,232,49,Vismay Patel,Dil Mera,0.574,0.298,9,-12.637,0.0263,0.902,0.0,0.107,0.301,80.017,303.0,75.0,indian
Good King Wenceslas (Remastered 2014),125,0,Traditional;Richard Benson and His Orchestra,"Remastered Christmas Classics, Richard Benson and His Orchestra",0.301,0.263,9,-9.867,0.028,0.31,0.158,0.144,0.212,106.886,224.0,56.0,sleep
Todos Os Meus Dias - Ao Vivo,204,58,Gabriel Guedes de Almeida,Todos Os Meus Dias (Ao Vivo),0.509,0.656,6,-7.574,0.0327,0.0315,2.12e-06,0.102,0.409,138.057,459.0,114.0,brazil
最強パレパレード,260,20,Aya Hirano;茅原実里;後藤邑子,最強パレパレード,0.571,0.988,11,-3.588,0.131,0.0383,0.00288,0.0421,0.82,174.996,734.0,184.0,j-idol
Marijuana,186,49,Shamoon Ismail,Cookie,0.686,0.566,4,-11.567,0.0496,0.159,0.0221,0.104,0.698,94.977,295.0,74.0,indian
Clearer,232,14,Blueboy,"Clearer and other singles, 1991-1995",0.423,0.329,5,-15.726,0.0351,0.702,0.0803,0.102,0.318,184.259,697.0,174.0,techno
ひまわりの丘,330,31,Seiko Matsuda,Pineapple,0.588,0.378,5,-7.746,0.0338,0.768,0.0,0.0635,0.574,173.307,936.0,233.0,j-idol
Serum 141,230,16,LIK,Mass Funeral Evocation,0.19,0.967,7,-4.891,0.111,4.17e-06,0.247,0.375,0.289,87.243,338.0,85.0,black-metal
Which Way,332,19,Graveworm,(N)Utopia,0.409,0.993,3,-1.943,0.112,1.31e-05,0.683,0.149,0.0693,114.983,628.0,158.0,black-metal
Farley Knows House,268,5,"Farley ""Jackmaster"" Funk","Farley ""Jackmaster"" Funk",0.806,0.914,1,-8.58,0.0504,0.00473,0.916,0.055,0.794,117.121,521.0,130.0,chicago-house
Mi Realidad,191,58,Lori Meyers,Cuando El Destino Nos Alcance,0.574,0.734,0,-6.64,0.0288,0.000838,3.33e-05,0.183,0.881,149.996,476.0,118.0,spanish
Saware - Lofi Mix,147,8,It's DPK;Nidhi Hegde,Saware (Lofi Mix),0.359,0.369,2,-16.999,0.0674,0.792,0.506,0.0986,0.124,126.558,306.0,76.0,indian
Der Sommer von damals,219,18,Wolfgang Petry,Nie genug,0.671,0.9,9,-4.278,0.028,0.169,1.63e-05,0.338,0.968,120.028,435.0,109.0,happy
痴心絕對,262,59,Sam Lee,痴心絕對,0.629,0.56,11,-4.95,0.0247,0.226,0.0,0.344,0.224,106.764,461.0,114.0,mandopop
Mousugu Ningenda - Japanese Version,147,26,Atom Kobayashi;Tansou Tatsumine;Honoka Suzuki;Terence Blanchard,The Princess and the Frog (Original Motion Picture Soundtrack/Japan Release Version),0.683,0.484,8,-12.922,0.103,0.298,0.0,0.199,0.516,106.92,246.0,61.0,disney
Secret Mersken,133,16,Kettel,Ibb & Obb (Original Soundtrack),0.32,0.13,1,-17.909,0.0342,0.936,0.944,0.105,0.0613,65.57,140.0,34.0,idm
Bs80,220,22,Morbo y Mambo,Muta,0.484,0.783,11,-7.923,0.0313,0.0119,0.899,0.103,0.77,164.006,578.0,143.0,afrobeat
Zehnaseeb - Lofi Flip,192,42,Deepanshu Ruhela;Swattrex;Chinmayi;Shekhar Ravjiani;Vishal-Shekhar,Zehnaseeb (Lofi Flip),0.604,0.496,7,-11.411,0.0413,0.643,0.0,0.368,0.196,80.0,254.0,63.0,indian
Senhor fazei de mim (Um instrumento de tua paz),140,55,Marcelo Falcão,Viver (Mais leve que o ar),0.649,0.571,9,-6.198,0.027,0.241,1.08e-05,0.172,0.659,108.03,245.0,61.0,brazil
MAH,336,42,The Chemical Brothers,No Geography,0.688,0.927,0,-6.083,0.0617,0.0296,0.238,0.346,0.212,129.947,718.0,181.0,breakbeat
Another Holiday,139,10,Justnormal,Love Letters,0.768,0.405,9,-9.068,0.0716,0.607,0.857,0.0917,0.22,170.039,391.0,97.0,study
nana triste,187,65,Natalia Lacunza;Guitarricadelafuente,Otras Alas,0.474,0.308,10,-9.411,0.0573,0.762,0.0,0.111,0.418,93.343,281.0,69.0,spanish
Bass In Yo Face,262,15,Bad Boy Bill;Richard Vission,Bass In Yo Face,0.803,0.768,10,-5.521,0.0471,0.00856,0.706,0.045,0.495,126.024,544.0,135.0,chicago-house
Antiquity,197,29,Purple Bike,Antiquity,0.701,0.468,9,-14.007,0.0752,0.569,0.823,0.111,0.289,87.988,286.0,70.0,study
Leão - Ao Vivo,345,44,Rebeca Carvalho;Lukas Agustinho,Leão (Ao Vivo),0.481,0.679,4,-7.596,0.0437,0.612,0.00223,0.0786,0.181,133.93,759.0,192.0,brazil
apollo,120,37,Jarhed,apollo,0.693,0.171,5,-15.304,0.0388,0.84,0.901,0.11,0.515,129.98,259.0,65.0,study
Wo bist du,235,54,Rammstein,Rosenrot,0.464,0.779,7,-4.717,0.0478,0.00905,0.36,0.126,0.155,158.097,614.0,152.0,industrial
Yuve Yuve Yu,282,61,The HU,The Gereg,0.624,0.857,10,-6.25,0.0542,0.0208,0.206,0.11,0.324,131.926,618.0,154.0,black-metal
Dynamite Love (Krafty Kuts vs. Freestylers),215,0,Krafty Kuts;Freestylers,Dynamite Love,0.649,0.93,2,-4.776,0.0389,0.0118,1.2e-05,0.0468,0.894,135.017,465.0,116.0,breakbeat
Sometimes It Hurts,219,26,Stabbing Westward,Darkest Days,0.477,0.808,2,-5.819,0.0588,0.00173,0.0027,0.105,0.215,156.418,560.0,139.0,industrial
那年的字裡行間 - 優酷青春劇《上游》插曲,209,24,Claire Kuo,《上游 電視劇音樂原聲帶》,0.609,0.618,5,-5.786,0.0239,0.678,1.23e-06,0.149,0.492,91.984,316.0,79.0,mandopop
Ewig und für immer (Reprise),120,19,Pia Allgaier;Pat Lawson,Die bunte Seite des Monds (Musik zum Netflix Film),0.292,0.181,3,-13.796,0.0461,0.925,5.6e-06,0.217,0.116,138.526,262.0,65.0,disney
Fan White Noise,80,36,White Noise Baby Sleep;BodyHI;White Noise for Babies,White Noise For Babies,0.134,0.178,7,-13.718,0.0451,0.617,0.713,0.365,0.0327,101.286,129.0,32.0,sleep
Vi,177,27,Pablo López,Once Historias Y Un Piano (Edición Especial),0.571,0.641,7,-6.406,0.0272,0.162,0.0,0.114,0.418,79.99,232.0,57.0,spanish
You Spin Me Round (Like A Record),163,64,Dope,Felons and Revolutionaries,0.602,0.876,11,-5.212,0.0442,0.000122,7.16e-06,0.108,0.713,128.563,345.0,85.0,industrial
The Sun Can't Compare (Long Version) - Mix Cut,374,10,Larry Heard;Mr White,Balance Presents Do Not Sleep (Mixed Version),0.804,0.686,10,-8.785,0.0481,0.00691,0.766,0.104,0.673,125.014,779.0,194.0,chicago-house
The Nameless Dread,71,21,Anaal Nathrakh,The Whole of the Law,0.206,0.613,3,-7.119,0.0463,0.899,0.748,0.309,0.0781,82.459,94.0,22.0,black-metal
Pump It - Skip The Bass Mixx,193,0,Fast Eddie,Pump It,0.936,0.827,1,-7.689,0.043,0.000465,0.0185,0.0554,0.963,128.087,409.0,102.0,chicago-house
Summoner,242,16,DreamReaper,Liminality,0.569,0.827,8,-5.373,0.0416,0.0039,0.804,0.371,0.521,112.999,455.0,113.0,techno
100 Outonos,202,35,Gabriel Diniz,À Vontade,0.534,0.883,1,-3.955,0.0326,0.548,0.0,0.152,0.667,153.884,509.0,127.0,forro
稻香,223,62,Jay Chou,魔杰座,0.67,0.626,9,-5.027,0.0628,0.286,0.0,0.0843,0.205,163.985,609.0,152.0,mandopop
CYBER DREAM,160,3,"Sarah, the Illstrumentalist",VAPORS,0.541,0.812,7,-14.978,0.0535,0.638,0.831,0.0985,0.164,150.012,396.0,101.0,study
Baba Hya - Remastered,329,18,Lafayette Afro Rock Band,Malik,0.436,0.915,7,-5.147,0.151,0.405,0.88,0.0748,0.776,88.39,478.0,120.0,afrobeat
Loose,182,54,Primer 55,Introduction To Mayhem,0.649,0.923,1,-4.537,0.0348,4.51e-05,0.623,0.369,0.517,108.217,324.0,80.0,industrial
Swimming Song,102,23,Even As We Speak,Feral Pop Frenzy,0.536,0.693,7,-13.96,0.0413,0.0138,0.000439,0.0677,0.798,142.982,234.0,58.0,techno
Two Caps,183,0,D.O.D,Armada Music - ADE 2022,0.674,0.958,10,-4.764,0.0552,0.000951,0.924,0.0515,0.885,126.979,385.0,95.0,chicago-house
Morena Tropicana,153,49,Trio Nordestino,Xodó Do Brasil,0.64,0.623,9,-11.317,0.0388,0.285,1.77e-06,0.129,0.908,164.031,413.0,103.0,forro
Rhythm Is a Dancer (12'' Version),316,22,SNAP!,Rhythm Is a Dancer 2008,0.767,0.869,9,-7.323,0.0334,0.111,0.0688,0.0815,0.849,124.254,646.0,161.0,techno
Tag,222,0,Fast Eddie;Mike Dunn;The Renegades,The Renegades,0.91,0.881,9,-3.246,0.107,0.0303,0.00197,0.0439,0.65,124.678,463.0,116.0,chicago-house
Good influences,332,6,Digital Base;Andy Vibes,Good influences,0.775,0.99,1,-1.962,0.065,0.00343,0.703,0.117,0.762,126.985,703.0,177.0,breakbeat
Hunnybee,268,65,Unknown Mortal Orchestra,Sex & Food,0.956,0.377,6,-7.965,0.0804,0.566,0.414,0.313,0.566,119.993,528.0,132.0,sleep
Paseo,216,62,Estopa,Voces de Ultrarumba,0.726,0.55,0,-9.676,0.0445,0.432,0.0,0.155,0.84,102.021,362.0,90.0,spanish
Influence of Worship,245,28,Eddie Neblett,Influence of Worship,0.536,0.702,0,-5.748,0.0679,0.2,0.0,0.147,0.711,82.83,337.0,83.0,afrobeat
Seeing Red,211,23,Entombed,Uprising,0.2,0.973,6,-3.391,0.0784,2.98e-05,0.000521,0.331,0.148,124.365,433.0,107.0,black-metal
青花瓷,237,62,Jay Chou,我很忙,0.689,0.497,11,-7.855,0.0251,0.221,0.0,0.108,0.543,108.01,417.0,103.0,mandopop
Bounce back,312,17,Tha Playah,Walking The Line,0.573,0.893,6,-5.855,0.058,0.0203,0.011,0.333,0.664,162.043,832.0,208.0,happy
Walkin',310,18,Frankie Knuckles;Adeva,Welcome To The Real World,0.782,0.742,6,-9.627,0.0665,0.0753,0.0,0.0965,0.587,120.594,619.0,154.0,chicago-house
Pollitos Jardineros,144,31,Cri-Cri,Las 100 Clásicas de Cri Cri Vol. 1,0.417,0.263,0,-10.654,0.0398,0.885,0.0,0.128,0.701,180.343,428.0,142.0,disney
Cumberland Gap,116,28,Flatt & Scruggs,Foggy Mountain Banjo,0.396,0.903,11,-8.957,0.0332,0.209,0.791,0.232,0.974,151.121,282.0,70.0,bluegrass
Construir Mi Vida,394,30,Passion;Brett Younker,Glorioso Día,0.36,0.558,7,-6.479,0.0339,0.0735,1.51e-05,0.138,0.0931,139.676,904.0,227.0,afrobeat
“16”,236,36,BOØWY,SINGLES,0.555,0.935,4,-5.294,0.112,0.0114,0.00176,0.214,0.376,99.475,382.0,96.0,j-dance
Teu Amanhã Será Melhor que Hoje,250,48,Samuel Messias,Planos de Deus,0.28,0.512,0,-6.932,0.029,0.347,0.0,0.108,0.494,80.795,328.0,82.0,brazil
Domino - Rework Edit,222,53,Oxia,Domino Remixes,0.725,0.855,1,-9.101,0.0435,0.0017,0.921,0.076,0.123,126.034,464.0,115.0,techno
Abhi Kuch Dino Se,285,65,Pritam;Mohit Chauhan,Dil Toh Baccha Hai Ji,0.703,0.695,4,-5.518,0.118,0.654,0.0,0.103,0.683,92.003,432.0,107.0,indian
Nontsokolo,356,1,Hugh Masekela,Africa Rising Vol.4,0.801,0.736,5,-8.897,0.0395,0.343,0.000183,0.0429,0.942,105.009,617.0,153.0,afrobeat
