name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Corre Pro Meu Mar,204800,0,47,Maneva;Gabriel Elias,Corre Pro Meu Mar,0.576,0.399,11,-12.865,1.0,0.0354,0.584,1.26e-05,0.136,0.405,91.997,4.0,brazil
Crosstown Traffic,146573,0,64,Jimi Hendrix,Electric Ladyland,0.486,0.963,0,-5.586,0.0,0.129,0.248,2.39e-06,0.158,0.533,113.133,4.0,bluegrass
Goldmember,57786,0,19,Los Amigos Invisibles,El Paradise,0.583,0.954,10,-4.263,0.0,0.0426,0.0007,0.839,0.349,0.689,133.959,4.0,afrobeat
Challa,225146,0,51,Pritam;Babbu Maan;Suzanne D'Mello,Crook (Original Motion Picture Soundtrack),0.714,0.823,7,-5.38,0.0,0.1,0.248,2.44e-05,0.0483,0.727,96.021,4.0,indian
Push,324266,0,11,Lusine,Lucky Numbers,0.793,0.761,11,-9.848,0.0,0.044,0.00331,0.884,0.111,0.873,130.003,4.0,idm
When Sadness Embraces My Heart,558811,0,0,Eternal Griefs,Blanche Monnier,0.306,0.796,8,-9.177,0.0,0.0556,0.000758,0.773,0.0642,0.33,135.022,4.0,iranian
Sunrise in El Born,232920,0,17,Matt Large,Conant Gardens,0.745,0.213,0,-13.553,1.0,0.101,0.824,0.91,0.136,0.145,68.006,4.0,study
你要的愛,242440,0,56,Penny Tai,怎樣,0.328,0.32,5,-10.292,1.0,0.0378,0.303,0.0,0.259,0.2,147.99,4.0,mandopop
Don't You Want Me (feat. Darren Criss),213573,0,44,Glee Cast;Darren Criss,"Glee: The Music, Volume 5",0.734,0.706,0,-4.99,1.0,0.0375,0.000597,0.000276,0.273,0.335,119.993,4.0,techno
Christmas Day,263266,0,28,Chris Tomlin;We The Kingdom,Miracle Of Love: Christmas Songs Of Worship,0.256,0.648,10,-4.237,1.0,0.0382,0.0202,0.0,0.299,0.331,179.688,3.0,mandopop
Quixotic,119000,0,22,Jobii,Pizzazz,0.654,0.668,4,-7.228,0.0,0.0364,0.427,0.887,0.108,0.315,174.061,3.0,study
Red de Maracujá,154285,0,0,Renanzin Pressão,Paredão do Renanzin,0.707,0.921,9,-1.735,0.0,0.0516,0.149,0.000624,0.12,0.962,139.982,4.0,forro
Gal Yuh Hot,181603,1,4,Laa Lee;TripleDose Production,Bruk Stone Riddim,0.825,0.766,6,-4.741,1.0,0.181,0.2,0.0,0.101,0.896,107.986,4.0,j-dance
Carolina Home,109360,0,2,Steep Canyon Rangers,Mr. Taylor's New Home,0.553,0.579,5,-8.31,1.0,0.0302,0.536,0.0384,0.31,0.911,151.285,4.0,bluegrass
Turf Wars,251586,0,16,Datsik;Protohype;Init,Shell Shock Legends,0.67,0.96,2,-1.175,1.0,0.0579,0.000354,0.0101,0.458,0.2,145.065,4.0,breakbeat
Onze Kroeg,165000,0,19,Lawineboys,Remmen Los,0.82,0.977,8,-4.161,1.0,0.0679,0.314,2.9e-06,0.324,0.949,146.047,4.0,happy
Anaphora,266040,0,33,Ochre,Beyond the Outer Loop,0.734,0.594,8,-8.719,1.0,0.104,0.00161,0.79,0.101,0.378,119.076,4.0,idm
Ocean Sounds: Relaxing Wind - Loopable,128916,0,26,The Ocean Waves Sounds,Relaxing Ocean Waves,0.0,0.0555,1,-17.352,1.0,0.0,0.844,0.965,0.631,0.0,0.0,0.0,sleep
Abraça-Me - Ao Vivo,311066,0,47,André Valadão,Fé (Ao Vivo),0.514,0.594,7,-6.022,1.0,0.0272,0.063,0.0,0.239,0.306,78.0,4.0,brazil
So Bazzel,191400,0,0,Mavado,Bazzel Riddim,0.684,0.521,5,-5.891,0.0,0.244,0.105,0.000291,0.15,0.682,107.297,5.0,j-dance
Soleil Couchant,225953,0,29,The Souljazz Orchestra,Resistance,0.618,0.831,9,-7.018,0.0,0.0802,0.429,0.321,0.168,0.92,126.058,4.0,afrobeat
讓懂你的人愛你,301826,0,21,William So,Nice So Nice (舊愛還是最美),0.556,0.372,8,-10.035,1.0,0.0382,0.757,0.0,0.105,0.345,113.636,4.0,mandopop
Dos Locos (Tontos e Loucos) / Novo Namorado,178651,0,46,Solange Almeida,"Entre Nós, Minha História",0.68,0.865,4,-4.17,1.0,0.134,0.123,0.0,0.608,0.689,177.785,4.0,forro
Only,263093,1,50,Nine Inch Nails,With Teeth (Bonus Tracks),0.7,0.807,9,-5.711,0.0,0.029,0.000576,0.00488,0.0996,0.963,112.15,4.0,industrial
波打ち際を走らないか?,261799,0,24,Keyakizaka46,風に吹かれても (Special Edition),0.446,0.862,5,-2.347,1.0,0.042,0.0319,0.0,0.284,0.512,151.976,4.0,j-idol
Hairdryer Sound for Sleep,168250,0,54,Pink Noise;Sleepy Times,Soothing Hum: Pink Noise,0.155,0.528,1,-20.523,1.0,0.179,0.774,0.652,0.112,0.0236,82.845,1.0,sleep
Talk About a Child (Live),236464,0,0,Traditional;Michelle Mayne-Graves;Lifeline Quartet,Yarlung Records: Fifteen Years,0.296,0.0817,0,-22.717,0.0,0.0661,0.959,0.00176,0.69,0.219,104.877,1.0,sleep
Never Alone,351026,0,59,2 Brothers On The 4th Floor,Dreams,0.705,0.866,8,-5.036,0.0,0.0563,0.171,0.000162,0.645,0.816,127.986,4.0,happy
Mil Vidas,189398,0,47,Léo Magalhães,Oi,0.744,0.708,1,-5.13,1.0,0.033,0.69,0.0,0.115,0.823,137.904,4.0,forro
Omaha Stylee,254106,1,41,311,Grassroots,0.61,0.861,7,-8.568,1.0,0.105,0.00451,0.0,0.205,0.8,153.547,4.0,black-metal
Fajitas (feat. Wahuu),367504,0,10,Yo Speed;Wahuu,Fajitas,0.758,0.915,9,-6.154,0.0,0.0416,0.016,0.319,0.12,0.423,127.978,4.0,breakbeat
Turn Up The Bass - Fast Eddie Scratch It Up Mix,298918,0,41,Tyree Cooper,Turn Up The Bass,0.762,0.898,7,-6.208,0.0,0.142,0.000564,5.12e-06,0.122,0.349,126.657,4.0,chicago-house
Diga - Ao Vivo,297240,0,40,Dorgival Dantas;Xand,Simplesmente Dorgival Dantas (Ao Vivo),0.386,0.756,9,-4.861,1.0,0.095,0.679,0.0,0.529,0.585,172.804,4.0,forro
Kuin Öinen Meri,356103,0,21,Havukruunu,Uinuos Syömein Sota,0.122,0.99,5,-3.51,1.0,0.167,0.031,0.000465,0.73,0.0361,149.344,4.0,black-metal
アジアン,226720,0,22,PASSEPIED,幕の内ISM,0.506,0.81,4,-4.797,1.0,0.0423,0.00137,0.0154,0.214,0.845,157.841,4.0,j-idol
Anabella,157075,1,25,Vybz Kartel,Anabella - Single,0.829,0.94,0,-3.719,1.0,0.102,0.502,1.03e-06,0.129,0.668,99.913,4.0,j-dance
Dedication,180468,0,0,Vybz Kartel,Dedication,0.499,0.682,2,-6.07,0.0,0.152,0.155,0.0,0.327,0.783,106.823,3.0,j-dance
Todos Los Besos,239146,0,58,Los Rebujitos,El Niño Pena,0.667,0.763,9,-5.295,1.0,0.0331,0.375,0.0,0.118,0.733,125.049,4.0,spanish
The End Begins,308077,0,0,War Angel,Symphony of the War,0.556,0.896,7,-5.159,0.0,0.0511,1.56e-05,0.000176,0.125,0.264,124.997,4.0,iranian
La noche me resbala,181839,0,49,Señor Trepador,Aforismos invertebrados,0.549,0.915,8,-4.726,1.0,0.0649,0.0374,0.0,0.247,0.903,94.871,4.0,spanish
Let's Do the Sex,222459,1,21,Psychostick,... and Stuff,0.625,0.821,1,-7.038,1.0,0.147,0.0123,0.00809,0.2,0.731,126.238,4.0,industrial
First Love - Live,556844,0,47,Kari Jobe,The Blessing (Live),0.124,0.481,2,-7.785,1.0,0.0324,0.174,0.0,0.268,0.105,74.962,4.0,mandopop
And more,195335,0,0,Saeed Dehghan,BLABBER BRAIN,0.611,0.582,9,-7.95,0.0,0.0603,0.0635,0.351,0.0841,0.251,169.957,4.0,iranian
Retro Days,104197,0,16,AHOSHI,Retro Days,0.722,0.376,10,-13.128,1.0,0.0984,0.494,0.711,0.182,0.365,83.015,4.0,study
Holy Mountain,313209,0,40,Rotting Christ;Lars Nedland,Holy Mountain,0.444,0.714,9,-8.159,0.0,0.0432,0.000176,0.176,0.302,0.17,138.068,4.0,black-metal
Slayed,287813,0,34,Overseer,Wreckage,0.655,0.899,2,-8.374,1.0,0.157,0.0346,0.0122,0.0774,0.517,170.018,4.0,breakbeat
Natural High - Dirty Channels Remix,244133,0,18,Mike Dunn;Dirty Channels,Natural High (Remixes),0.846,0.903,2,-7.245,0.0,0.0418,0.00141,0.788,0.0786,0.925,126.005,4.0,chicago-house
Jenny From The Block - Redo Version,138320,0,31,Kidz Bop Kids,KIDZ BOP All-Time Greatest Hits,0.739,0.887,9,-5.695,1.0,0.0504,0.0446,3.91e-06,0.299,0.978,100.021,4.0,disney
Sincronia,212683,0,14,Samuca e a Selva,Ditados Populares Dançantes,0.791,0.546,11,-8.81,0.0,0.0436,0.034,0.0211,0.0464,0.843,100.064,4.0,afrobeat
Captivity Spinal Cord,282454,1,0,Ekwon,"Born in Shroud, Dead in Womb",0.506,0.975,7,-4.609,1.0,0.0763,4.31e-06,0.933,0.402,0.102,119.946,4.0,iranian
Paulinha - Ao Vivo,144259,0,36,Calcinha Preta,Paulinha (Ao Vivo),0.359,0.723,0,-7.248,1.0,0.0623,0.318,5.27e-06,0.669,0.47,160.46,4.0,forro
Blood From A Stone,201688,0,25,Sevendust,Blood & Stone (Deluxe),0.527,0.941,8,-6.254,1.0,0.0795,0.0001,8.41e-05,0.168,0.393,105.003,4.0,industrial
Luz Dos Olhos - Ao Vivo Em São Paulo / 2007,306813,0,48,Nando Reis;Andrea Martins,Luau (Ao Vivo Em São Paulo / 2007),0.467,0.694,7,-6.637,1.0,0.0304,0.46,0.0,0.747,0.336,91.008,4.0,brazil
Africa Irie,342013,0,19,Chief Checker,Nigeria 70 - Lagos Jump,0.745,0.587,9,-8.101,0.0,0.163,0.0329,0.273,0.0922,0.86,131.977,4.0,afrobeat
Happinezz - Edit,245760,0,52,Boris Brejcha;Ginger,Happinezz (Edit),0.751,0.509,7,-12.551,1.0,0.0449,0.00468,0.76,0.128,0.266,125.023,4.0,techno
スローモ,213977,0,14,Kyary Pamyu Pamyu,ゆめのはじまりんりん,0.499,0.937,4,-4.402,0.0,0.04,0.0181,0.00118,0.0583,0.471,139.986,4.0,j-idol
Run Underwater,308965,0,8,Toronto Is Broken;Aktive;MZKA,Run Underwater,0.491,0.957,8,-2.84,1.0,0.0681,0.0057,0.21,0.45,0.418,174.06,4.0,idm
The Ansaphone,345866,0,12,Jonny L,Ooh I Like It,0.624,0.876,11,-7.885,1.0,0.0426,0.00955,0.818,0.0992,0.322,149.982,4.0,industrial
Minha Alma Gêmea É Você,238680,0,47,Desejo De Menina,"Moldura, Vol. 3",0.602,0.728,2,-5.763,1.0,0.0341,0.506,0.00132,0.594,0.688,80.005,4.0,forro
Recline,146865,0,20,Timothy Infinite,Campsite Snoozin,0.824,0.549,10,-7.148,0.0,0.103,0.735,0.92,0.112,0.104,133.999,3.0,study
Niebla Cálida,118000,0,7,Ruido Blanco Hart;Música de concentración profunda;Waves for Sleep,Chispa Encendida: Flujo De Antorchas,0.254,0.996,6,-21.444,1.0,0.0549,0.157,0.661,0.353,0.012,107.921,4.0,forro
minor distance,133150,0,35,SLKBTS,minor distance,0.782,0.443,6,-10.585,0.0,0.0973,0.157,0.884,0.102,0.215,72.993,4.0,study
Belíssimo Esposo,426906,0,50,Comunidade Católica Shalom,Ressuscitou (Liturgia),0.547,0.229,9,-8.393,1.0,0.0284,0.821,0.0,0.119,0.293,84.025,4.0,brazil
Near,328642,0,40,Deafheaven,Ordinary Corrupt Human Love,0.296,0.48,0,-9.685,1.0,0.0281,0.166,0.934,0.112,0.157,133.509,4.0,black-metal
Hömma Samma Womma Nomma (Bier trinken gehen),183494,0,23,Sabbotage,Hömma Samma Womma Nomma (Bier Trinken Gehen),0.505,0.954,0,-2.391,1.0,0.056,0.0363,1.27e-06,0.335,0.738,149.993,4.0,happy
Made In,386866,0,7,Colombo,Adaggio/Made In,0.799,0.75,0,-8.424,1.0,0.0783,0.00163,0.805,0.037,0.254,135.016,4.0,breakbeat
Mesa de Bar,177200,0,48,Conde do Forró,Maltratando os Corações,0.676,0.575,9,-10.542,0.0,0.038,0.701,0.0,0.133,0.591,135.003,4.0,forro
Forever - Radio Version/Live,240066,0,40,Kari Jobe,Majestic (Deluxe / Live),0.297,0.676,8,-5.891,1.0,0.0409,0.0851,0.0,0.0802,0.172,148.151,4.0,iranian
Tracking The Beat - Album Edit,195289,0,17,The Prophet,LOUDER,0.509,0.983,6,-2.235,0.0,0.0613,0.0603,0.401,0.0675,0.375,150.036,4.0,happy
The Plague 19,221440,0,0,Winterise,The Plague 19,0.464,0.939,4,-4.099,0.0,0.119,1.68e-05,0.0103,0.217,0.113,200.038,4.0,iranian
Three Little Monkeys Jumping On the Bed,63853,0,60,The Little 'uns,First Animals,0.953,0.254,9,-14.666,1.0,0.0543,0.317,0.0,0.0549,0.797,110.015,4.0,disney
Odio que te quiero,163322,0,59,Paula Koops;Noan,Odio que te quiero,0.58,0.891,6,-4.1,1.0,0.0723,0.0451,0.0,0.119,0.531,181.899,4.0,spanish
One Too Many Mornings,253160,0,58,The Chemical Brothers,Exit Planet Dust,0.62,0.558,7,-11.422,1.0,0.0407,0.171,0.916,0.157,0.539,171.827,4.0,breakbeat
Be Kind,247433,0,33,Rival Consoles,Persona,0.507,0.343,10,-20.092,0.0,0.0405,0.959,0.93,0.102,0.45,154.096,4.0,idm
茫茫到深更,265853,0,24,陳中;邱芸子,陳中+邱芸子情歌對唱,0.491,0.51,3,-7.617,1.0,0.0342,0.095,3.72e-05,0.0472,0.147,138.109,4.0,mandopop
Aquela Paz,176960,0,53,Charlie Brown Jr.,Imunidade Musical,0.586,0.487,11,-9.29,1.0,0.0341,0.769,0.0001,0.181,0.693,123.897,5.0,brazil
Puls Trupa,297188,1,18,Truchło Strzygi,Nad Którymi Nie Czuwa Żaden Stróż,0.153,0.907,6,-7.116,1.0,0.0816,0.000154,0.00625,0.292,0.08,145.796,4.0,black-metal
Anywhere With You,158807,0,67,AFROJACK;Lucas & Steve;DubVision,Anywhere With You,0.596,0.743,6,-4.149,1.0,0.0302,0.0696,2.37e-06,0.202,0.531,125.883,4.0,chicago-house
Anna Nass,169946,0,32,Die Atzen;Sady K,"Atzen Musik Vol.1, 2 & 3",0.789,0.902,9,-4.986,0.0,0.214,0.0342,0.0,0.0881,0.463,138.03,4.0,techno
Dancin (feat. Luvli) - Philip George Remix,421933,0,23,Aaron Smith;Luvli;Philip George,Dancin (Remixes) - EP1 (feat. Luvli),0.711,0.551,10,-11.345,0.0,0.0515,0.0025,0.00089,0.0541,0.634,124.001,4.0,chicago-house
Electronic Battle Weapon 9,400866,0,2,The Chemical Brothers,Brotherhood (Deluxe),0.722,0.944,10,-5.071,0.0,0.0481,0.0262,0.782,0.352,0.327,126.971,4.0,breakbeat
エキセントリック,273026,0,21,Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),0.637,0.876,3,-5.262,0.0,0.0519,0.25,0.0,0.242,0.611,130.0,4.0,j-idol
REALIZE,243233,0,54,Konomi Suzuki,ULTRA FLASH,0.596,0.916,11,-3.378,0.0,0.105,0.0242,0.0,0.0786,0.407,103.047,4.0,j-idol
忽然之間,199249,0,61,Karen Mok,就是莫文蔚,0.73,0.335,2,-10.13,1.0,0.0405,0.674,0.0,0.177,0.332,138.075,4.0,mandopop
Daisy Chains,254186,0,13,Audio Bullys,Higher Than the Eiffel,0.484,0.618,7,-6.1,1.0,0.0541,0.374,0.00499,0.0941,0.0412,142.093,4.0,breakbeat
Aquiles por su talón es Aquiles,214253,0,31,Jorge Drexler,Amar la trama,0.523,0.282,9,-11.418,1.0,0.0791,0.776,0.00288,0.0819,0.317,132.44,4.0,afrobeat
Waterhaul,290560,0,24,36 Crazyfists,A Snow Capped Romance,0.589,0.396,7,-10.26,1.0,0.0372,0.0554,0.0288,0.103,0.197,99.974,4.0,industrial
Five-O (feat. Wyclef & P. Diddy),279773,0,23,Elephant Man;Diddy;Wyclef Jean,Let's Get Physical,0.537,0.883,0,-4.466,1.0,0.221,0.000719,0.0,0.37,0.636,150.098,4.0,j-dance
Nazareno,223173,1,67,Farruko,Nazareno,0.658,0.725,7,-4.604,0.0,0.0321,0.0292,0.000107,0.163,0.368,128.117,4.0,spanish
"Mehrama (From ""Love Aaj Kal"")",249415,0,54,Pritam;Darshan Raval;Antara Mitra,"Mehrama (From ""Love Aaj Kal"")",0.549,0.634,7,-8.827,1.0,0.0342,0.861,0.00838,0.0953,0.36,107.946,4.0,indian
City Lights Spell Your Name,210200,0,24,Miso Colt,City Lights Spell Your Name,0.765,0.245,0,-12.94,1.0,0.0983,0.667,0.826,0.106,0.434,75.005,4.0,study
Stuck On You,176956,0,50,Demarco;Collie Buddz,Melody,0.773,0.641,5,-6.523,0.0,0.155,0.309,0.0,0.181,0.835,86.967,4.0,j-dance
O Leão,267398,0,35,Damares;Canção & Louvor,O Leão,0.63,0.749,7,-5.147,0.0,0.0744,0.14,0.0,0.0666,0.573,75.891,4.0,brazil
Are We Here (Who Are They?),453160,0,16,Orbital,20,0.565,0.846,0,-6.543,1.0,0.0386,0.0353,0.585,0.141,0.0941,142.974,4.0,breakbeat
Veilburner,405626,0,18,Enslaved,Riitiir,0.436,0.93,2,-6.227,1.0,0.0498,2.12e-06,0.0245,0.263,0.332,120.038,4.0,black-metal
Love Falls,274164,0,23,HELLYEAH,UNDEN!ABLE (Deluxe 2.0),0.583,0.889,7,-4.112,1.0,0.035,0.00235,0.0,0.642,0.301,110.023,4.0,industrial
Follow The Leaders - 2005 Digital Remaster,337640,0,24,Killing Joke,What's This For . . . !,0.474,0.756,9,-11.393,1.0,0.0501,1.18e-05,0.301,0.0598,0.696,146.767,4.0,industrial
Rave The Planet,407819,0,49,A*S*Y*S;Kai Tracid,"Rave the Planet: Supporter Series, Vol. 009",0.705,0.957,11,-6.026,1.0,0.0406,0.00947,0.835,0.125,0.0615,133.007,4.0,techno
Mayhem MF - Original Mix,171906,0,13,The Prophet,The Hardcore Archive Part 3 (1997),0.753,0.844,11,-3.859,0.0,0.137,0.361,6.44e-05,0.0693,0.131,89.993,4.0,happy
Outdoor Seating,137937,0,36,Timothy Infinite,Outdoor Seating,0.602,0.362,11,-8.158,0.0,0.0859,0.549,0.756,0.186,0.231,144.07,4.0,study
Bis zum letzten Atemzug,203043,0,24,Norman Langen,Bis zum letzten Atemzug,0.788,0.579,11,-8.778,1.0,0.0633,0.123,0.0413,0.156,0.74,130.0,4.0,happy
Ruffneck (Radio Edit),248301,0,19,Freestylers;Navigator,Ruffneck (feat. Navigator),0.85,0.897,10,-11.222,1.0,0.0718,0.0231,0.0,0.248,0.627,125.908,4.0,breakbeat
蒼いフォトグラフ,239000,0,21,Seiko Matsuda,Canary,0.713,0.397,5,-9.554,1.0,0.0354,0.703,0.0,0.306,0.608,78.735,4.0,j-idol
Rock y Violencia,280891,1,27,Eskorbuto,Las Más Macabras De Las Vidas,0.375,0.794,4,-11.226,0.0,0.126,0.417,1.03e-06,0.081,0.0384,138.911,4.0,spanish
To Love You More (Glee Cast Version),265866,0,43,Glee Cast,"Glee: The Music, The Complete Season Four",0.31,0.502,2,-6.438,1.0,0.0322,0.631,1.24e-06,0.132,0.0524,119.993,4.0,techno
My Little Ebonie,293221,0,9,Glenn Underground,Black Resurrection,0.76,0.64,8,-9.455,0.0,0.0554,0.0551,0.827,0.088,0.504,106.8,4.0,chicago-house
Horny,69400,0,0,The Black Dog,Music For Adverts (And Short Films),0.234,0.259,0,-12.813,1.0,0.0365,0.9,0.804,0.172,0.0353,76.802,4.0,idm
Unity,209608,0,50,for KING & COUNTRY;Dante Bowe,What Are We Waiting For?,0.445,0.593,11,-7.496,0.0,0.16,0.0657,5.15e-05,0.297,0.326,171.774,4.0,iranian
Abhorrent Display,290952,0,18,Avhath,The Avhath Rites,0.103,0.676,4,-8.809,0.0,0.0478,0.00138,0.6,0.0758,0.0338,90.136,4.0,black-metal
"Uptown Funk - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",270653,0,49,Alvin & The Chipmunks,"Uptown Funk (From ""Alvin And The Chipmunks: Road Chip"" Original Motion Picture Soundtrack)",0.773,0.836,6,-2.674,0.0,0.188,0.113,0.0168,0.305,0.679,114.98,4.0,disney
Halabi Abad,300000,0,14,Saeed Dehghan;Dariush;REZ,Halabi Abad,0.605,0.795,10,-9.146,0.0,0.149,0.0596,6.6e-06,0.378,0.19,99.987,4.0,iranian
Gomorrah,326546,0,30,Jerry Garcia Band;Jerry Garcia,Cats Under the Stars (Expanded),0.587,0.421,0,-9.419,1.0,0.0276,0.273,0.00822,0.177,0.496,83.114,4.0,bluegrass
Spring of Life - Level3-mix,359040,0,19,Perfume,LEVEL3 (Bonus Edition),0.604,0.968,1,-1.939,1.0,0.0622,0.000155,0.62,0.0197,0.922,132.004,4.0,j-idol
"Shayad (Film Version) - From ""Love Aaj Kal""",245732,0,59,Pritam;Jubin Nautiyal;Madhubanti Bagchi,"Shayad (Film Version) [From ""Love Aaj Kal""]",0.345,0.508,8,-7.595,1.0,0.0358,0.912,0.00138,0.101,0.287,135.21,4.0,indian
Devotion - Extended Version,408373,0,16,Ten City,Atlantic 60th: On The Dance Floor Vol. 2,0.717,0.494,6,-16.715,0.0,0.0585,0.338,0.386,0.641,0.732,120.261,4.0,chicago-house
Bruderschaft,246680,0,0,Heimataerde,Kaltwaerts (Deluxe Edition),0.498,0.957,5,-6.732,0.0,0.0461,0.00215,0.0311,0.189,0.577,139.949,4.0,industrial
Midnight Sounds,206000,0,0,White Noise for Babies,Rising Sun,0.0939,0.746,0,-19.883,1.0,0.157,0.945,0.98,0.196,0.035,88.947,3.0,sleep
Ela Não Monta na Lambreta / Trópico Banana - Ao Vivo,259050,0,34,Bell Marques,Só as Antigas (Ao Vivo),0.543,0.939,0,-5.299,1.0,0.0611,0.0958,0.000287,0.396,0.659,150.992,4.0,forro
Reign In Us,334466,0,37,Starfield,I Will Go,0.392,0.769,0,-5.137,1.0,0.032,0.0403,0.0,0.306,0.294,144.025,4.0,mandopop
君のパレード,212560,0,36,the shes gone,MORE,0.536,0.836,8,-4.491,1.0,0.0388,0.0225,0.0,0.115,0.664,133.071,4.0,j-dance
"Prolog - aus ""Rapunzel - Neu Verföhnt""/Deuscher Film-Soundtrack",122493,0,20,Christine Leyser;Paula Seifert,Rapunzel Neu Verföhnt,0.182,0.148,0,-16.579,1.0,0.0313,0.898,0.0882,0.243,0.152,82.513,3.0,disney
The Way Back,446053,0,1,Solomun,Black Label #36,0.855,0.425,7,-12.939,1.0,0.0953,0.111,0.852,0.0774,0.195,120.025,4.0,techno
Abre los ojos,196213,0,23,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.236,0.108,0,-16.376,0.0,0.0369,0.861,0.934,0.127,0.0631,119.983,3.0,disney
Aftershock,435783,0,4,Alphaxone,Ghost Machine,0.199,0.539,11,-20.546,1.0,0.0882,0.577,0.896,0.11,0.15,125.384,4.0,iranian
Up And Around The Bend,214840,0,29,Béla Fleck;Sam Bush;Jerry Douglas;Stuart Duncan;Mark O'Connor;Tony Rice;Mark Schatz,Drive,0.533,0.665,9,-13.025,1.0,0.0352,0.323,0.779,0.0388,0.912,118.664,4.0,bluegrass
CO2 Vapor Remix - Original Mix,387898,0,12,Cajmere;Sonny Fodera,Too Underground For The Main Stage,0.811,0.705,9,-8.783,1.0,0.0847,0.0768,0.833,0.104,0.654,118.997,4.0,chicago-house
Simbiosis - Original Mix,230597,0,27,DJ Sim,Simbiosis (DJ Obscurity Remix),0.664,0.817,7,-5.006,1.0,0.0546,0.00184,0.787,0.178,0.0396,152.114,4.0,happy
Act 2 - Umbra of Mirth,467826,1,0,Azooma,The Act of Eye,0.226,0.988,0,-6.717,1.0,0.2,0.00337,0.897,0.545,0.0721,159.96,4.0,iranian
Eu Duvido,76434,0,41,Chicão dos Teclados,Album Seresta as Melhores 2K20,0.719,0.693,0,-9.25,1.0,0.0339,0.443,0.0,0.719,0.876,126.763,4.0,forro
Little Bitty Pretty One,148373,0,34,Bobby Day,The Rockin' Adventures of Bobby Day,0.803,0.467,10,-10.171,0.0,0.0752,0.789,0.28,0.0565,0.935,85.731,4.0,bluegrass
Into The Pentagram,405800,0,21,Samael,Worship Him,0.311,0.729,4,-7.047,1.0,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,black-metal
Rab Raakha,239956,0,42,The Yellow Diary,Rab Raakha,0.559,0.781,2,-6.496,1.0,0.0341,0.629,0.0569,0.112,0.373,119.964,4.0,indian
Outer Shell,405773,0,0,Sonmi451,Nachtmuziek,0.518,0.159,9,-22.528,0.0,0.0568,0.927,0.921,0.285,0.294,119.886,4.0,idm
さっちゃんのセクシーカレー,201143,0,20,Seiko Oomori,大森靖子,0.641,0.713,1,-3.739,1.0,0.0262,0.144,0.00554,0.0417,0.413,100.93,4.0,j-idol
neomatter,104433,0,43,O k O,neomatter,0.67,0.371,4,-13.83,0.0,0.141,0.57,0.891,0.127,0.1,83.03,3.0,study
Azurite,146999,0,16,"Sarah, the Illstrumentalist",Pocket Full of Crystals: Vol 2,0.635,0.402,2,-13.602,0.0,0.0408,0.73,0.898,0.245,0.32,119.796,4.0,study
Rebel Yell - Remastered,236661,0,7,Scooter,Our Happy Hardcore (20 Years of Hardcore Expanded Edition) [Remastered],0.481,0.985,9,-5.511,0.0,0.0945,0.004,0.00243,0.36,0.359,174.984,4.0,happy
Over In The Gloryland,125280,0,35,Ralph Stanley,Clinch Mountain Gospel,0.477,0.588,0,-9.153,1.0,0.032,0.647,0.0,0.291,0.652,148.006,4.0,bluegrass
Unchain My Soul,320435,0,43,Dark Funeral,Where Shadows Forever Reign,0.421,0.999,4,-5.51,1.0,0.106,2.91e-05,0.167,0.0877,0.0271,114.076,4.0,black-metal
Police Heartbreaker,145515,0,46,Absolute Valentine,Police Heartbreaker,0.493,0.997,9,-4.78,1.0,0.0555,0.0409,0.79,0.34,0.287,135.005,4.0,techno
You Must Be the One,241800,0,9,Ten City,Foundation,0.719,0.552,8,-14.615,1.0,0.0479,0.134,1.45e-05,0.268,0.765,120.347,4.0,chicago-house
It's Not Over Yet,218786,0,55,for KING & COUNTRY,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),0.575,0.604,7,-7.223,1.0,0.0452,0.015,0.0,0.0725,0.517,74.974,4.0,indian
"7 Dagen, 7 Zonden",192880,0,19,Lawineboys;BZB,Polonaise Vol. 17 (2021),0.714,0.965,6,-5.84,1.0,0.0633,0.253,0.0,0.275,0.952,158.921,4.0,happy
red orchard,159600,0,17,Justnormal;frumhere,"Heartsick, extras.",0.391,0.51,11,-7.901,0.0,0.0684,0.445,0.697,0.141,0.303,30.322,4.0,study
Cumbia da Simone,184832,0,19,Manoel Cordeiro,Manoel Cordeiro & Sonora Amazônia,0.721,0.777,4,-5.589,0.0,0.0362,0.504,0.85,0.128,0.782,114.014,4.0,afrobeat
〜Do my best〜じゃ意味はない,236880,0,32,Nogizaka46,夜明けまで強がらなくてもいい (Special Edition),0.59,0.783,10,-3.423,1.0,0.0397,0.744,0.0,0.117,0.263,126.994,4.0,j-idol
Plump,129121,0,35,Jobii,Llama Drama,0.655,0.692,0,-8.707,0.0,0.0444,0.00981,0.727,0.489,0.113,139.064,4.0,study
La Última Canción,184748,0,76,Rels B,LA ISLA LP,0.793,0.605,1,-4.952,0.0,0.119,0.426,0.0,0.334,0.268,91.068,4.0,spanish
