name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing,genre
明明就,260386,False,60,Jay Chou,十二新作,0.543,0.428,9,-8.966,,0.0262,0.14,0.0,0.0876,0.173,112.985,260387,4.0,476.0,119.0,0.959,1.343558282208589,mandopop
乃木坂の詩,272413,False,26,Nogizaka46,ぐるぐるカーテン Type-A,0.552,0.978,0,-3.839,1.0,0.0658,0.0071,2.15e-06,0.325,0.48,101.962,272413,4.0,456.0,114.0,0.57,3.349056603773585,j-idol
Gunman City,187045,False,21,YK Kastro,Gunman City,0.55,0.489,1,-8.932,1.0,0.507,0.413,0.0,0.106,0.306,67.651,187046,3.0,235.0,78.0,0.409,2.36741214057508,j-dance
Chunky,158114,False,57,Format:B,Chunky,0.803,0.858,10,-4.019,1.0,0.0538,0.0111,0.096,0.0766,0.862,121.989,158115,,318.0,79.0,0.223,0.7573891625615764,techno
Avichhu Vatcha,71293,False,57,Manikka Vinayagam,Thiruppatchi (Original Motion Picture Soundtrack),0.645,0.511,6,-12.383,0.0,0.176,0.0336,0.00627,0.14,0.511,89.932,71293,4.0,99.0,24.0,0.261,1.1709531013615733,indian
The Human Abstract,295040,False,19,The Kovenant,Animatronik,0.472,0.992,0,-2.863,1.0,0.0655,4.67e-05,0.331,0.563,0.616,85.027,295040,4.0,414.0,103.0,0.195,3.349056603773585,black-metal
Hardshock (Official Hardshock 2019 Anthem),224000,False,17,Anime,Hardshock (Official Hardshock 2019 Anthem),0.355,0.99,7,-1.178,1.0,0.431,0.0385,0.166,0.346,0.0417,179.856,224000,4.0,670.0,167.0,0.388,4.067085953878407,happy
The Demander,138817,False,21,Victor Rice,Drink,0.678,0.785,11,-8.721,0.0,0.044,0.00941,0.811,0.17,0.995,141.557,138818,4.0,316.0,78.0,0.381,0.7481162540365985,afrobeat
Snowin' On Raton,230746,False,39,Town Mountain,Heroes & Heretics,0.565,0.208,10,-12.778,1.0,0.0323,0.823,5.14e-06,0.109,0.449,148.024,230747,,554.0,138.0,0.044,0.7573891625615764,bluegrass
Bahare Delneshin (Ruhollah Khaleghi),116866,False,0,Martin Shamoonpour,8 Bit,0.506,0.883,9,-4.256,0.0,0.111,0.744,0.742,0.0897,0.395,140.13,116867,3.0,258.0,86.0,0.295,1.343558282208589,iranian
1980 - Acústico,383407,False,43,AO Cubo,Respire Fundo (Acústico),0.497,0.799,4,-4.763,1.0,0.395,0.142,0.0,0.94,0.588,80.224,383408,4.0,512.0,128.0,0.181,0.916010498687664,brazil
Fearless,376253,False,17,VNV Nation,Futureperfect,0.606,0.828,3,-6.599,0.0,0.0306,0.026,0.00389,0.108,0.698,139.988,376253,4.0,874.0,219.0,0.151,1.7389162561576357,industrial
Turnin Me Out,375514,False,8,Jovonn;Casio Ware,Timeless,0.833,0.597,9,-9.792,0.0,0.101,0.000171,0.022,0.0795,0.692,123.011,375515,4.0,768.0,191.0,0.62,1.343558282208589,chicago-house
broken hash,108750,False,30,slån,superficial,0.485,0.318,7,-12.489,1.0,0.109,0.893,0.904,0.113,0.262,158.361,108750,4.0,283.0,70.0,0.934,4.067085953878407,study
Evolution,52000,False,5,arai tasuku,Fantasmagorie The Ghost Show -Original Soundtrack-,0.449,0.486,2,-10.459,1.0,0.052,0.166,0.725,0.292,0.353,171.864,52000,5.0,145.0,35.0,0.426,3.70048309178744,idm
Dígale,265226,False,0,David Bisbal,Retro Baladas,0.559,0.472,2,-6.814,1.0,0.0299,0.583,0.0,0.146,0.305,129.945,265227,4.0,555.0,138.0,0.998,3.70048309178744,spanish
Burnt Back,224095,False,21,The New Mastersounds,The Nashville Session,0.537,0.903,9,-6.951,1.0,0.0503,0.452,0.852,0.126,0.843,111.801,224095,4.0,406.0,101.0,0.868,1.343558282208589,afrobeat
Absurd,348826,False,12,Fluke,Rave Classics,0.543,0.959,11,-8.665,0.0,0.0486,0.00119,0.464,0.606,0.42,125.047,348827,4.0,724.0,181.0,0.751,0.7481162540365985,breakbeat
Scope,180500,False,13,Gimmik,Still In My Arms: Compiled by Bayu and Moopie,0.265,0.0606,0,-28.383,1.0,0.0451,0.979,0.945,0.0829,0.042,70.371,180500,4.0,207.0,51.0,0.091,3.349056603773585,idm
Genesis,346453,False,18,VNV Nation,Futureperfect,0.592,0.949,4,-5.944,,0.0565,0.116,1.87e-05,0.225,0.67,135.052,346453,4.0,768.0,193.0,0.622,0.916010498687664,industrial
"Maybe - Live From The Louisville Palace, Kentucky / 2002",265813,False,24,Alison Krauss & Union Station,Live,0.417,0.334,6,-11.139,,0.039,0.718,0.0,0.674,0.23,111.684,265813,4.0,490.0,122.0,0.988,1.1709531013615733,bluegrass
Waves Ionic Sea,124370,False,30,Ocean Waves For Sleep,White Noise Ocean,0.105,0.0383,1,-33.026,1.0,0.147,0.256,0.854,0.434,0.00485,76.137,124371,,153.0,38.0,0.238,2.36741214057508,sleep
Digital Voodoo,302000,False,21,Korsakoff,Korsakoff Pres. Pink Noise,0.546,0.926,6,-4.34,0.0,0.0469,0.519,0.91,0.144,0.0653,154.979,302000,4.0,778.0,195.0,0.578,1.1709531013615733,happy
Sie - Best Of VRR,320735,False,26,Andreas Gabalier,Best Of Volks-Rock'n'Roller,0.657,0.708,5,-4.001,1.0,0.0289,0.0724,0.0,0.102,0.506,123.011,320736,4.0,650.0,161.0,0.241,1.2793053545586106,happy
The Devil Master (Devil is Your Master),135826,False,16,Devil Master,Manifestations,0.0916,0.998,11,-5.353,0.0,0.17,0.00229,0.16,0.522,0.0615,173.833,135827,,397.0,99.0,0.744,0.7481162540365985,black-metal
Movin' on Down That Line,195546,False,33,Fireside Collective,Life Between the Lines,0.721,0.606,9,-5.344,1.0,0.0303,0.633,0.0,0.213,0.61,138.068,195547,4.0,434.0,108.0,0.931,1.343558282208589,bluegrass
When Life Leads Us to Death,191376,False,0,Chaos Descent,Best of Eat My Shorts Records,0.213,0.482,0,-5.502,0.0,0.0332,0.0415,0.954,0.0724,0.228,147.95,191377,5.0,382.0,96.0,0.082,3.349056603773585,iranian
NO FLOWERS GROW FROM FROZEN GROUND,258271,False,14,Varg²™,EXIT WOUNDS,0.288,0.89,5,-5.985,0.0,0.0489,0.00191,0.825,0.243,0.297,93.834,258271,4.0,404.0,100.0,0.037,1.2793053545586106,techno
Nas Asas do Senhor (feat. Celina Borges),303973,False,59,Padre Fábio De Melo;Celina Borges,Queremos Deus,0.404,0.339,6,-8.739,1.0,0.0299,0.374,0.0,0.165,0.166,121.747,303973,,612.0,153.0,0.61,1.1709531013615733,brazil
Segredos,233533,False,46,Frejat,Dose Dupla Frejat,0.581,0.731,7,-5.189,1.0,0.0289,0.192,0.0,0.405,0.579,127.582,233533,4.0,491.0,124.0,0.72,4.067085953878407,brazil
"Tumse Bhi Zyada (From ""Tadap"")",319100,False,55,Pritam;Arijit Singh,"Tumse Bhi Zyada (From ""Tadap"")",0.511,0.816,2,-5.375,0.0,0.0674,0.466,0.0,0.248,0.688,89.018,319100,4.0,462.0,116.0,0.058,3.70048309178744,indian
Sun Doesn't Rise,193813,False,62,Mushroomhead,XIII,0.376,0.988,5,-2.375,1.0,0.216,8.82e-05,6.36e-05,0.346,0.507,192.153,193813,,613.0,153.0,0.732,1.2793053545586106,industrial
When The Going Is Smooth & Good,773800,False,17,William Onyeabor,Anything You Sow,0.826,0.629,3,-6.158,1.0,0.0486,0.357,0.38,0.0967,0.54,128.164,773800,4.0,1640.0,412.0,0.578,1.7389162561576357,afrobeat
Woh Din,258036,False,63,Pritam;Arijit Singh,Chhichhore,0.652,0.681,0,-7.565,1.0,0.0379,0.503,8.2e-06,0.181,0.677,81.489,258036,4.0,346.0,86.0,0.012,3.349056603773585,indian
Andar Conmigo - Live At Teatro Colón / 2018,261150,False,33,Coti;Abel Pintos,Coti Sorokin Y Los Brillantes En El Teatro Colón (Live At Teatro Colón / 2018),0.418,0.359,7,-13.904,1.0,0.0703,0.801,0.0,0.849,0.474,127.081,261150,3.0,551.0,182.0,0.81,4.067085953878407,spanish
Velocity Shift,128586,False,46,Overseer,Wreckage,0.598,0.928,11,-7.68,,0.065,0.00507,0.664,0.807,0.962,124.988,128587,4.0,263.0,65.0,0.924,0.7481162540365985,breakbeat
O Que Sua Glória Fez Comigo,399243,False,58,Fernanda Brum,Da Eternidade,0.279,0.597,2,-6.269,0.0,0.0398,0.405,0.0,0.697,0.365,140.192,399244,4.0,926.0,232.0,0.436,3.70048309178744,brazil
La Niña de la Escuela,204414,False,0,Lola Indigo;TINI;Belinda,Perreo Tenebroso Vol. 2,0.707,0.876,1,-1.887,1.0,0.0787,0.173,9.36e-06,0.932,0.853,176.068,204414,4.0,593.0,148.0,0.322,2.36741214057508,spanish
Shooting Star - Force & Styles Mix,278604,False,21,Bang!,Shooting Star,0.432,0.945,10,-6.426,0.0,0.04,0.0033,0.561,0.182,0.328,169.956,278605,4.0,778.0,195.0,0.378,0.7573891625615764,happy
Duelin' Banjo,140066,False,24,The Dillards,Back Porch Bluegrass,0.418,0.882,9,-11.879,,0.0377,0.117,0.48,0.0632,0.967,169.157,140067,4.0,361.0,92.0,0.153,1.343558282208589,bluegrass
Desilusión,412560,False,27,Stravaganzza,Sentimientos,0.295,0.961,8,-3.577,,0.141,9.26e-06,0.00124,0.0571,0.22,109.739,412560,4.0,815.0,207.0,0.897,2.7259036144578315,spanish
Can We Stay Forever?,64245,False,34,joyvegas,Can We Stay Forever?,0.235,0.449,4,-15.966,,0.0649,0.836,0.956,0.413,0.382,86.153,64245,4.0,92.0,22.0,0.912,0.916010498687664,indian
Ranjha,228855,False,70,Jasleen Royal;B Praak;Romy;Anvita Dutt,Shershaah (Original Motion Picture Soundtrack),0.611,0.566,1,-5.861,1.0,0.0388,0.507,0.0,0.0971,0.312,82.984,228855,4.0,313.0,78.0,0.417,2.36741214057508,indian
Gehörschadengenerator,518400,False,43,Boris Brejcha,Club Vibes Part 01,0.753,0.689,2,-8.669,1.0,0.105,0.000918,0.922,0.0977,0.197,125.012,518400,4.0,1076.0,269.0,0.696,3.70048309178744,techno
Mineral Ages,270863,False,0,Spuntic,Hybrid Source,0.193,0.298,0,-19.232,0.0,0.041,0.858,0.793,0.0987,0.05,138.735,270864,4.0,608.0,152.0,0.03,3.349056603773585,iranian
Sorry,167293,False,25,Trampled by Turtles,Stars and Satellites,0.37,0.72,0,-6.303,1.0,0.038,0.609,0.532,0.112,0.716,160.09,167293,4.0,422.0,106.0,0.033,3.349056603773585,bluegrass
Fade,264048,False,60,Alan Walker,Origins,0.785,0.649,6,-4.149,1.0,0.0418,0.0112,0.0388,0.0793,0.472,179.966,264048,4.0,791.0,198.0,0.37,1.1709531013615733,chicago-house
Richest Man,182500,False,30,Balsam Range,Moxie and Mettle,0.605,0.68,11,-8.293,1.0,0.0376,0.233,0.000251,0.258,0.895,120.044,182500,4.0,350.0,87.0,0.74,0.7481162540365985,bluegrass
Brunos Turm,52466,False,22,Germaine Franco,Encanto (Deutscher Original Film-Soundtrack),0.162,0.0614,0,-28.258,1.0,0.0464,0.776,0.865,0.151,0.0329,147.868,52467,3.0,114.0,37.0,0.662,3.349056603773585,disney
Look To The Son,276426,False,42,Hillsong Worship;JD,let there be light.,0.527,0.838,0,-6.615,1.0,0.0478,0.00161,0.0,0.764,0.371,121.96,276427,4.0,559.0,142.0,0.794,3.349056603773585,forro
White Desert,400696,False,40,Pysh;Stephane Salerno,White Desert,0.726,0.493,0,-10.333,,0.0399,0.0312,0.599,0.111,0.314,124.995,400697,4.0,833.0,209.0,0.473,3.349056603773585,techno
Reality Check (ft. Tenor Fly),294538,True,13,Freestylers;Tenor Fly,Other Worlds,0.666,0.961,7,-2.671,1.0,0.156,0.00586,0.0,0.0386,0.797,174.064,294539,4.0,847.0,211.0,0.367,4.067085953878407,breakbeat
Misanthropic Breed,81724,False,19,LIK,Misanthropic Breed,0.162,0.522,4,-6.572,,0.0446,0.0925,0.981,0.278,0.0836,159.835,81724,4.0,203.0,50.0,0.164,0.916010498687664,black-metal
Spiritual Dreams,282253,False,0,Spuntic,Between Green,0.267,0.211,4,-15.817,0.0,0.054,0.991,0.849,0.119,0.0523,65.032,282253,3.0,304.0,101.0,0.933,0.916010498687664,iranian
Subirusdoistiozin - Live,211280,False,39,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),0.569,0.907,4,-5.619,0.0,0.31,0.602,4.35e-05,0.862,0.562,94.346,211280,,329.0,83.0,0.654,0.916010498687664,afrobeat
Qué Bien Se Siente,186491,False,31,Cyclo,Qué Bien Se Siente,0.637,0.712,6,-5.116,1.0,0.135,0.323,2.69e-06,0.337,0.84,171.993,186491,4.0,528.0,132.0,0.177,1.1709531013615733,spanish
Letter,263402,False,32,Yosi Horikawa,Wandering,0.728,0.569,10,-9.173,0.0,0.0377,0.143,0.598,0.463,0.333,109.972,263403,4.0,480.0,119.0,0.008,0.7573891625615764,idm
No Guidance (feat. Drake),260640,True,80,Chris Brown;Drake,Indigo,0.696,0.454,1,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640,4.0,399.0,101.0,0.417,2.36741214057508,breakbeat
CROP TOP,127660,True,37,Spice,Emancipated,0.89,0.794,2,-6.769,1.0,0.203,0.134,0.000128,0.133,0.552,102.11,127660,4.0,211.0,52.0,0.584,3.70048309178744,j-dance
Downpour,313250,False,16,Fred V & Grafix,Hospital Christmas Cracker 2013,0.457,0.759,8,-4.117,1.0,0.032,0.00115,0.345,0.113,0.0391,174.01,313250,4.0,901.0,226.0,0.238,2.7259036144578315,industrial
Forgotten Art (Music),461560,False,12,Glenn Underground,Forgotten Art,0.703,0.821,10,-14.908,0.0,0.0464,0.054,0.918,0.0947,0.912,124.985,461560,4.0,960.0,240.0,0.204,0.7573891625615764,chicago-house
Tô Bem Passou,212558,False,39,Desejo De Menina,"Esperando Você, Vol. 6",0.578,0.691,1,-4.849,,0.0327,0.632,0.0,0.135,0.581,160.291,212558,4.0,560.0,140.0,0.008,2.36741214057508,forro
Gor,274500,False,0,Padra,Hezartooye Tanafor,0.165,0.995,7,-3.26,,0.15,0.00093,6.84e-05,0.217,0.132,74.993,274500,4.0,375.0,94.0,0.206,4.067085953878407,iranian
Still / P E A C E,301973,False,41,Hillsong Worship;Benjamin William Hastings;Hannah Hobbs,Take Heart (Again),0.323,0.232,9,-12.207,1.0,0.0344,0.846,8.6e-06,0.0777,0.322,132.536,301973,4.0,615.0,154.0,0.134,1.343558282208589,indian
TRUE BLUE,184946,False,23,Sayaka Yamamoto,α,0.503,0.957,10,-3.634,1.0,0.0807,0.00026,1.73e-05,0.371,0.429,102.047,184947,4.0,307.0,77.0,0.593,0.7573891625615764,j-idol
If I Didn't Have You - Hidehiko Ishizuka & Yuji Tanaka Version,219666,False,35,Hidehiko Ishizuka;Yuji Tanaka,"Monsters, Inc. (Original Motion Picture Soundtrack/Japan Release Version)",0.607,0.426,8,-10.044,,0.0586,0.454,0.0,0.321,0.606,122.568,219667,4.0,441.0,108.0,0.662,2.7259036144578315,disney
From the Day,219626,False,50,I AM THEY,I AM THEY,0.576,0.837,0,-5.877,1.0,0.0326,0.000215,0.0,0.191,0.419,118.974,219627,,416.0,104.0,0.487,3.349056603773585,iranian
你快樂所以我快樂,258426,False,45,Faye Wong,王菲97,0.676,0.307,8,-12.919,,0.0279,0.51,0.00284,0.123,0.163,110.857,258427,4.0,466.0,116.0,0.67,2.7259036144578315,mandopop
剛好遇見你,200019,False,19,Li Yugang,剛好遇見你,0.582,0.489,1,-6.657,1.0,0.033,0.563,0.0,0.143,0.488,155.991,200020,4.0,507.0,128.0,0.652,2.36741214057508,mandopop
風立ちぬ(SEIKO STORY〜80's HITS COLLECTION〜),275746,False,27,Seiko Matsuda,風立ちぬ,0.588,0.71,10,-6.249,1.0,0.0291,0.412,0.0,0.379,0.646,131.537,275747,4.0,594.0,147.0,0.464,0.7573891625615764,j-idol
Mil Vidas,189398,False,47,Léo Magalhães,Oi,0.744,0.708,1,-5.13,1.0,0.033,0.69,0.0,0.115,0.823,137.904,189398,4.0,428.0,107.0,0.528,2.36741214057508,forro
"I, Zombie",211666,True,25,White Zombie,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",0.389,0.989,10,-6.167,,0.228,4.13e-05,0.636,0.21,0.0627,154.377,211667,4.0,539.0,135.0,0.27,0.7573891625615764,industrial
Chak Lein De,262687,False,55,Kailash Kher,Chandni Chowk To China,0.709,0.779,8,-8.187,,0.041,0.334,0.000266,0.387,0.611,129.022,262687,4.0,561.0,140.0,0.563,2.7259036144578315,indian
Pursuit,247603,False,52,Gesaffelstein,Aleph,0.682,0.934,7,-4.822,1.0,0.0741,0.0619,0.926,0.106,0.0708,108.982,247603,3.0,447.0,149.0,0.268,4.067085953878407,techno
Reno Ride,65280,False,0,Clarence White,Flatpick (Collector's Deluxe Edition),0.502,0.317,2,-15.961,,0.0352,0.932,0.902,0.0999,0.925,111.601,65280,4.0,113.0,27.0,0.599,3.70048309178744,bluegrass
Clean White Noise,72651,False,41,"Spa;Spa, Relaxation and Dreams;Relax Meditate Sleep;Loopable;Deep Meditation Sleep;Lullaby Land",White Noise Spa Collection - 50 Shades of Ambience (Loopable and without fade),0.0,2.03e-05,9,-8.327,1.0,0.0,0.112,0.331,0.663,0.0,0.0,72652,0.0,0.0,0.0,0.686,1.343558282208589,sleep
Paraquedas,168426,False,52,Gabriel Diniz;Jorge & Mateus,Paraquedas,0.589,0.937,1,-2.332,,0.0383,0.652,0.0,0.179,0.809,171.033,168427,,466.0,117.0,0.578,2.36741214057508,forro
Q Bounce,143031,False,10,"Sarah, the Illstrumentalist",No Traffic in LA,0.777,0.614,0,-10.322,,0.0368,0.000838,0.866,0.112,0.68,123.99,143032,4.0,293.0,74.0,0.652,3.349056603773585,study
Got News For You,262613,False,22,Tanto Metro & Devonte,Most Wanted,0.73,0.877,7,-4.602,,0.174,0.00235,0.000342,0.251,0.757,95.215,262613,4.0,416.0,103.0,0.717,4.067085953878407,j-dance
Ozeanische Residenz,222812,False,43,Weißes Rauschen HD,Meereswellen zum Schlafen: Weißes Rauschen für den Schlaf,0.167,0.457,0,-28.056,0.0,0.0711,0.873,0.931,0.683,1e-05,119.532,222812,1.0,541.0,136.0,0.726,3.349056603773585,sleep
"Lonesome, On'ry and Mean",312866,False,4,The Travelin' McCourys,The Travelin' Mccourys,0.546,0.766,7,-7.249,1.0,0.0308,0.457,0.0476,0.218,0.835,117.192,312867,4.0,601.0,150.0,0.966,4.067085953878407,bluegrass
Otra Vez,208893,False,0,Coti,Triste Hora,0.586,0.785,4,-3.385,1.0,0.0263,0.0181,0.0,0.278,0.72,133.122,208893,4.0,449.0,111.0,0.077,0.916010498687664,spanish
Hansi,206729,False,32,Lorenz Büffel;Almklausi;Stubete Gäng,Hansi,0.631,0.978,11,-3.209,1.0,0.178,0.0057,0.0,0.377,0.718,147.047,206729,4.0,501.0,124.0,0.124,0.7481162540365985,happy
Lipstick Traces - 2007 Remaster,141013,False,53,UFO,Phenomenon (2007 Remaster),0.614,0.484,9,-8.853,,0.033,0.158,0.109,0.0851,0.621,78.747,141013,3.0,177.0,58.0,0.738,1.343558282208589,bluegrass
Forgive Me,215999,True,29,Rels B;Indigo Jams,Nueva Generación,0.74,0.553,3,-7.853,,0.0708,0.606,0.0,0.0973,0.163,110.065,216000,4.0,382.0,94.0,0.561,1.7389162561576357,spanish
Raatein,225875,False,47,Jasleen Royal,Shivaay,0.653,0.401,5,-12.029,,0.0279,0.893,0.143,0.109,0.311,129.988,225875,,481.0,120.0,0.02,1.2793053545586106,indian
Party Girl,190000,False,43,Busy Signal,Party Girl,0.832,0.717,8,-5.349,1.0,0.0904,0.0214,0.0,0.0336,0.732,102.032,190000,4.0,322.0,81.0,0.842,2.7259036144578315,j-dance
tempura,153141,False,19,Justnormal;frumhere,"Heartsick, extras.",0.738,0.451,6,-9.109,1.0,0.0772,0.519,0.845,0.121,0.345,87.997,153142,,222.0,55.0,0.638,1.1709531013615733,study
Elle décide,222493,False,18,Vaudou Game,Kidayu,0.772,0.857,1,-6.858,,0.0389,0.462,0.0102,0.076,0.977,111.367,222493,4.0,406.0,102.0,0.389,2.36741214057508,afrobeat
Introducción a un Destino / La Fuerza del Destino - En Vivo,357653,False,27,Ana Torroja,Conexión (En Vivo),0.687,0.648,4,-9.603,1.0,0.0324,0.211,1.15e-06,0.978,0.524,96.034,357653,4.0,570.0,142.0,0.622,0.916010498687664,spanish
Only today,259346,False,24,AKB48,Team A 4th stage 「ただいま恋愛中」 〜studio recordings コレクション〜,0.479,0.917,4,-2.175,,0.0387,0.0568,0.000267,0.126,0.85,164.001,259347,4.0,695.0,174.0,0.153,0.916010498687664,j-idol
Rubai 30 To 33,229560,False,0,Kiawasch Sahebnassagh;Amirhosein Allah Yari,Forty Poems To Kharaghan,0.497,0.238,7,-17.512,1.0,0.0391,0.645,0.0117,0.141,0.244,128.712,229560,3.0,489.0,162.0,0.709,4.067085953878407,iranian
Paradox Existence,269423,False,0,Garhelenth,The Mysterious Kingdom,0.125,0.677,8,-9.416,,0.048,1.68e-06,0.0056,0.382,0.299,96.517,269424,4.0,475.0,118.0,0.633,2.7259036144578315,iranian
CITRUS - ちゅうおん2021 Live ver.,135666,False,11,Shiritsu Ebisu Chugaku,エビ中 秋声と螻蛄と音楽の輝き 題して「ちゅうおん」2021(Live),0.525,0.785,11,-5.024,0.0,0.0372,0.00255,0.0,0.325,0.462,82.052,135667,4.0,185.0,46.0,0.737,0.7481162540365985,j-idol
Fast Life - Radio Edit,270685,False,18,Re-Style,Fast Life,0.436,0.997,6,-4.473,0.0,0.133,0.393,0.594,0.345,0.0588,175.079,270686,,768.0,193.0,0.986,1.1709531013615733,happy
Christ Our King - Live From Camp,365185,False,44,Passion;Rachel Halbach,Live From Camp,0.301,0.47,1,-7.896,1.0,0.0314,0.195,0.0,0.113,0.0724,74.912,365186,4.0,447.0,112.0,0.812,2.36741214057508,indian
Sad Boy (feat. Ava Max & Kylie Cantrall),141204,False,60,R3HAB;Jonas Blue;Ava Max;Kylie Cantrall,Sad Boy (feat. Ava Max & Kylie Cantrall),0.717,0.692,1,-5.971,0.0,0.0723,0.0675,0.0,0.088,0.524,102.996,141204,,240.0,60.0,0.218,2.36741214057508,chicago-house
Avem (The Aviation Theme),199314,False,50,Alan Walker,Avem (The Aviation Theme),0.643,0.527,9,-8.221,0.0,0.0322,0.0141,0.00142,0.246,0.0848,165.029,199314,4.0,547.0,138.0,0.918,1.343558282208589,chicago-house
Pra Recomeçar - Ao Vivo,219386,False,44,Brasas do Forró,25 Anos de Brasas (Ao Vivo),0.429,0.727,0,-8.438,1.0,0.0564,0.355,0.0,0.239,0.537,129.886,219387,4.0,473.0,119.0,0.606,3.349056603773585,forro
Influence of Worship,245708,False,28,Eddie Neblett,Influence of Worship,0.536,0.702,0,-5.748,1.0,0.0679,0.2,0.0,0.147,0.711,82.83,245709,4.0,337.0,83.0,0.191,3.349056603773585,afrobeat
Cannibalistic Infancy,136100,False,16,LIK,Carnage,0.33,0.992,6,-4.689,1.0,0.206,2.6e-06,0.59,0.236,0.0993,111.666,136100,,242.0,60.0,0.911,1.1709531013615733,black-metal
Chak De India,283951,False,59,Salim–Sulaiman;Sukhwinder Singh;Salim Merchant;Marianne D'Cruz;Jaideep Sahni,Chak De India,0.755,0.894,4,-8.544,,0.0993,0.54,1.55e-05,0.141,0.799,104.985,283951,4.0,490.0,123.0,0.898,0.916010498687664,indian
CRY,235733,False,20,SHINJIRO ATAE (from AAA),THIS IS WHERE WE PROMISE,0.653,0.421,1,-8.946,,0.0313,0.6,0.0,0.084,0.712,75.971,235733,4.0,286.0,71.0,0.457,2.36741214057508,j-dance
Do Without Dem - Radio Edit,187593,False,0,Robbie Rule;TripleDose Production,Do Without Dem,0.782,0.752,2,-5.469,1.0,0.154,0.773,0.0,0.0771,0.474,99.887,187594,,308.0,79.0,0.335,3.70048309178744,j-dance
Jiiieehhaaa - DJ Ruffneck's Resurrection Remix,257333,True,17,Diss Reaction;DJ Ruffneck,Jiiieehaaaa (The DJ Ruffneck Remixes),0.59,0.997,7,-1.986,0.0,0.318,0.344,0.00662,0.651,0.0358,180.021,257333,4.0,761.0,191.0,0.225,4.067085953878407,happy
Thithithara - From “Second Show”,209866,False,43,Avial,Matinee & Second Show (Original Motion Picture Soundtrack),0.624,0.767,1,-6.251,0.0,0.0316,0.0166,0.149,0.097,0.812,109.977,209867,4.0,380.0,95.0,0.866,2.36741214057508,indian
Espírito Vem,328330,False,45,Isaias Saad,Espírito Vem,0.414,0.48,0,-8.519,1.0,0.0329,0.274,0.000687,0.073,0.155,148.087,328330,4.0,799.0,201.0,0.141,3.349056603773585,brazil
Emotion 2 Emotion,363750,False,2,Alinka,Universal Motion EP,0.748,0.843,11,-8.09,0.0,0.0507,0.00102,0.896,0.0569,0.286,128.014,363750,4.0,774.0,193.0,0.382,0.7481162540365985,chicago-house
REALIZE,243233,False,54,Konomi Suzuki,ULTRA FLASH,0.596,0.916,11,-3.378,0.0,0.105,0.0242,0.0,0.0786,0.407,103.047,243233,4.0,410.0,102.0,0.536,0.7481162540365985,j-idol
Southern Cross - 2005 Remaster,281000,False,67,"Crosby, Stills & Nash",Daylight Again (Deluxe Edition),0.668,0.447,2,-11.124,1.0,0.0312,0.48,2.89e-06,0.153,0.588,81.415,281000,4.0,370.0,92.0,0.666,3.70048309178744,bluegrass
"Kesariya Audio Teaser (From ""Brahmastra"")",44698,False,55,Pritam;Arijit Singh;Amitabh Bhattacharya,"Kesariya Audio Teaser (From ""Brahmastra"")",0.56,0.634,0,-8.803,,0.031,0.435,0.00435,0.0983,0.465,94.024,44699,4.0,64.0,15.0,0.112,3.349056603773585,indian
Ik Vaari Aa (Jubin Version),274475,False,46,Pritam;Jubin Nautiyal,Raabta,0.512,0.829,7,-5.661,,0.0385,0.234,0.0,0.338,0.423,127.899,274476,4.0,580.0,145.0,0.379,4.067085953878407,indian
In the Dark,185564,False,57,Purple Disco Machine;Sophie and the Giants,Exotica (Deluxe),0.696,0.77,6,-5.53,0.0,0.0496,0.0453,4.08e-05,0.0812,0.775,115.937,185564,4.0,351.0,88.0,0.097,1.1709531013615733,chicago-house
The Time Warp,198000,False,0,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),0.478,0.747,9,-5.176,1.0,0.231,0.298,1.5e-05,0.121,0.497,172.943,198000,4.0,566.0,142.0,0.265,1.343558282208589,disney
So Far So Good - Frankov Remix 2022,307500,False,0,Victor Ruiz;Vitor Munhoz;Frankov,10 Years Compilation,0.806,0.96,2,-5.365,1.0,0.0487,0.00522,0.869,0.0514,0.868,127.994,307500,4.0,639.0,158.0,0.788,3.70048309178744,techno
The Island,569973,False,32,Pendulum,The Island,0.626,0.936,9,-3.518,0.0,0.0868,3.38e-05,0.102,0.242,0.235,126.033,569973,4.0,1192.0,299.0,0.961,1.343558282208589,idm
Unrequited,307213,False,49,Yoga Lin,Fiction,0.46,0.349,11,-9.966,1.0,0.0332,0.566,0.0,0.108,0.199,138.713,307213,4.0,701.0,176.0,0.426,0.7481162540365985,mandopop
Jeevan Ko Kya Naam Dun,190012,False,44,Swanand Kirkire;Joell,Jeevan Ko Kya Naam Dun,0.522,0.234,1,-12.907,1.0,0.0365,0.854,0.0128,0.102,0.366,119.854,190012,3.0,360.0,119.0,0.812,2.36741214057508,indian
The Importance of Elsewhere,243186,False,22,Lack Of Afro,This Time,0.795,0.727,4,-9.737,,0.0494,0.155,0.0112,0.131,0.826,108.036,243187,4.0,432.0,107.0,0.21,0.916010498687664,afrobeat
