name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,kmeans.labels_
Puritania - Live,186506,0,17,Dimmu Borgir,Alive in Torment (Live),0.147,0.991,5,-2.818,0.287,0.000123,0.551,0.91,0.0863,83.017,4.0,black-metal,3
Sea Of Heartbreak,188266,0,28,Special Consensus,Scratch Gravel Road,0.594,0.613,11,-8.062,0.0291,0.384,0.000626,0.115,0.877,104.859,4.0,bluegrass,1
Não Dei Tchau,183355,0,40,Vitor Fernandes,Piseiro Apaixonado - Pt. 1,0.726,0.85,4,-3.365,0.045,0.309,0.0,0.568,0.813,152.04,4.0,forro,1
Dancing With Your Ghost (Slowed + Reverb),148000,0,43,fenekot,Dancing with Your Ghost,0.608,0.522,7,-11.488,0.132,0.955,0.93,0.135,0.152,110.646,4.0,sleep,2
Tylko ja i ty - 2003 Remaster,332786,0,36,Dzem,Najemnik,0.457,0.23,2,-13.23,0.0353,0.152,0.00159,0.0838,0.0705,136.137,4.0,bluegrass,0
Voici la Nouvelle (Remastered 2014),74992,0,0,Traditional;Les Chanteurs de la Vierge,"Classical Christmas, Vol. 2",0.431,0.259,10,-12.641,0.0556,0.995,0.00058,0.871,0.339,117.175,3.0,sleep,0
Dil Laga Na,304770,0,54,Pritam;Sukhbir;Soham Chakrabarthy;Jolly Mukherjee;Mahalaxmi Iyer;Suzanne;Sameer,Dhoom:2,0.782,0.953,7,-5.442,0.162,0.161,1.97e-06,0.0491,0.477,101.997,4.0,indian,1
Comforting Noise,120000,0,0,Meditation Rain Sounds;Massage Tribe;Perfect Meditation;Relaxing Water Sounds,Angelic Hail Atmosphere,0.448,0.996,2,-18.774,0.0498,0.935,0.869,0.948,0.0141,67.615,4.0,sleep,2
Palm Sunday,141173,0,26,Jerry Garcia Band;Jerry Garcia,Cats Under the Stars (Expanded),0.481,0.219,0,-12.091,0.037,0.693,0.000494,0.322,0.165,76.44,4.0,bluegrass,0
I Am The Magnificent - Original Mix,266391,0,4,The Prophet,The Hardcore Archive Part 3 (1997),0.396,0.822,11,-7.216,0.0474,0.000466,0.653,0.376,0.0536,104.872,4.0,happy,3
Un Cosa De Amour,219880,0,22,Ralphi Rosario,Greatest Hits,0.791,0.612,2,-14.159,0.0571,0.0044,0.78,0.0493,0.453,119.105,4.0,chicago-house,3
Knalltrött,150000,0,34,Overklig,Knalltrött,0.734,0.348,9,-11.676,0.0673,0.708,0.87,0.108,0.218,79.983,3.0,study,2
Enna's Anger,48000,0,6,arai tasuku,Fantasmagorie The Ghost Show -Original Soundtrack-,0.207,0.634,7,-13.406,0.0654,0.555,0.0656,0.0858,0.0396,80.642,4.0,idm,0
Eu Não Vou Mais Chorar,190223,0,53,Aviões do Forró,"Aviões do Forró, Vol. 3",0.649,0.898,9,-7.04,0.047,0.517,1.48e-06,0.384,0.961,182.054,4.0,forro,1
Alive (Studio),227600,0,40,Hillsong Young & Free;Alexander Pappas,We Are Young & Free,0.714,0.743,1,-3.494,0.0464,0.00168,2.81e-05,0.064,0.683,131.997,4.0,afrobeat,1
Tô pra Onda,235567,0,1,Afrocidade,Afrocidade na Pista,0.71,0.846,4,-3.981,0.0479,0.0798,0.00352,0.395,0.505,118.025,4.0,afrobeat,1
Desce do Cavalo,116480,0,42,Os Barões Da Pisadinha,Agora Eu Pego Mesmo,0.765,0.929,6,-6.666,0.0647,0.554,1.39e-06,0.133,0.969,167.968,4.0,forro,1
Spirit Song 2012 - Original Mix,377821,0,5,Toronto Is Broken,Move It - EP,0.491,0.938,8,-3.905,0.0399,0.00118,0.582,0.0547,0.371,140.051,4.0,idm,3
Recovery,290201,0,53,Rival Consoles,Odyssey / Sonne,0.456,0.461,2,-11.337,0.0593,0.0978,0.815,0.102,0.119,155.008,4.0,idm,3
你給我聽好,288400,0,53,Eason Chan,rice & shine,0.429,0.356,7,-11.524,0.0362,0.891,0.0,0.115,0.431,96.798,4.0,mandopop,0
comigo,293018,0,49,Leonardo Gonçalves;Kemuel,comigo,0.522,0.441,5,-10.005,0.0253,0.821,0.00191,0.106,0.315,81.051,4.0,brazil,0
Pathologically Bored - Remix,298183,0,8,Deru,1979: Remixed,0.123,0.216,10,-16.622,0.0357,0.986,0.954,0.139,0.031,81.641,4.0,idm,2
MILLI,135158,0,56,keshi,GABRIEL,0.667,0.5,2,-9.837,0.0748,0.587,4.31e-06,0.0784,0.42,80.951,4.0,sleep,0
Don't look back!,264600,0,22,NMB48,Don't look back! (通常盤Type-B),0.485,0.971,4,-1.943,0.0613,0.112,7.47e-06,0.314,0.531,92.499,4.0,j-idol,1
Háblame Bajito,269333,0,46,Abraham Mateo;50 Cent;Austin Mahone,A Cámara Lenta,0.663,0.642,1,-4.614,0.26,0.122,1.36e-05,0.0991,0.265,184.059,4.0,spanish,1
Wiggle,193295,0,0,Jason Derulo;Snoop Dogg,Pop Station,0.696,0.621,9,-6.886,0.248,0.0802,0.0,0.162,0.721,81.944,4.0,breakbeat,1
Ido,182970,0,10,Timothy Infinite,Cielo,0.799,0.614,8,-5.784,0.0409,0.333,0.908,0.112,0.0721,101.013,4.0,study,3
roasted,127951,0,14,wavcrush,fin alley,0.716,0.683,2,-8.845,0.0387,0.0964,0.22,0.244,0.623,83.028,4.0,study,1
Big Trouble in Mega Tokyo,178500,0,10,Cybass,Akane (Original Soundtrack),0.676,0.808,11,-6.09,0.037,0.00171,0.74,0.147,0.387,99.982,4.0,idm,3
20TRAP20-IKARI,220750,1,30,Yung Beef,El Plugg 2,0.713,0.478,10,-10.096,0.313,0.0239,0.0,0.348,0.368,139.956,4.0,spanish,1
Mi Ego - Versión Pop,185762,0,23,Natalia Jiménez;Joss Favela,Mi Ego (Versión Pop),0.522,0.629,7,-4.533,0.0295,0.0772,0.0,0.217,0.469,135.762,4.0,spanish,1
Dream Machine - Kaskade Mix,375880,0,47,Mark Farina;Kaskade,To Do,0.897,0.32,1,-13.873,0.0539,0.113,0.0841,0.107,0.672,110.019,4.0,chicago-house,1
Reappearance,122636,0,61,Spacetactular,Reappearance,0.0778,0.00796,3,-35.644,0.0376,0.959,0.907,0.106,0.0491,79.221,3.0,sleep,2
brake down,99307,0,5,wavcrush,come pat a bowl,0.761,0.428,8,-6.378,0.0578,0.21,0.193,0.115,0.187,90.014,4.0,study,1
Domino - Rework,459730,0,44,Oxia,Domino Remixes,0.804,0.718,1,-10.268,0.062,0.00399,0.949,0.239,0.132,126.005,4.0,techno,3
switching sides,140000,0,6,meadowzz,brooklyn knows best,0.784,0.31,3,-11.671,0.1,0.0166,0.722,0.114,0.387,90.012,4.0,study,3
Groeten Uit De Feesttent,192291,0,27,Lawineboys,Groeten Uit De Feesttent,0.744,0.97,9,-3.728,0.0599,0.127,0.0,0.318,0.963,155.031,4.0,happy,1
Broken Halos,191283,0,53,for KING & COUNTRY,What Are We Waiting For?,0.6,0.566,9,-9.058,0.114,0.131,1.07e-05,0.113,0.153,120.088,4.0,indian,1
At the End of the Day,278800,0,24,Yonder Mountain String Band,"Mountain Tracks, Vol. 2",0.53,0.567,7,-8.666,0.046,0.668,3.46e-06,0.554,0.673,117.606,4.0,bluegrass,0
words > numbers,176551,0,40,Blue Boatz,words > numbers,0.785,0.476,8,-6.634,0.0522,0.18,0.894,0.121,0.544,86.979,4.0,study,3
Mindfulness,131944,0,17,Nathan Kawanishi,Mindfulness,0.755,0.283,1,-15.251,0.0416,0.894,0.642,0.0903,0.652,129.607,4.0,study,2
大眠,239555,0,58,Cyndi Wang,CYNDILOVES2SING 愛。心凌,0.567,0.519,4,-6.88,0.0454,0.764,0.0,0.13,0.233,136.197,4.0,mandopop,0
The Black Expression,136410,0,13,"Sarah, the Illstrumentalist",The Black Expression,0.842,0.501,11,-9.622,0.178,0.312,0.798,0.0982,0.781,115.492,4.0,study,3
So Close,190302,0,0,NOTD;Felix Jaehn;Captain Cuts;Georgia Ku,Queda poco para la PAES,0.665,0.894,10,-5.038,0.0672,0.149,8.83e-06,0.105,0.737,125.007,4.0,chicago-house,1
He Lives in You,305653,0,25,Lebo M.,Le Roi Lion (Bande Originale Française du Film),0.692,0.632,1,-9.365,0.0488,0.423,2.7e-05,0.0971,0.29,114.977,4.0,disney,0
Middle Mountain Towns - Live,231346,0,17,Greensky Bluegrass,Live at Bell's,0.588,0.626,0,-8.181,0.0286,0.374,0.000218,0.601,0.76,104.333,4.0,bluegrass,1
Lo-Fi Prism,96020,0,42,Dazik69,Color Spectrum,0.846,0.167,3,-15.462,0.0515,0.826,0.782,0.102,0.335,90.008,4.0,study,2
十戒 (1984) - 2012 Remaster,216346,0,18,Akina Nakamori,AKINA BOX 1982-1991 (2012 Remaster),0.676,0.753,0,-4.715,0.0365,0.0525,2.88e-05,0.0682,0.493,148.968,4.0,j-idol,1
Obsession - Recorded at Sound Stage Nashville,356285,0,35,Hillsong Worship,Spotify Singles,0.52,0.344,2,-10.132,0.0243,0.0173,0.00467,0.0856,0.0825,77.968,4.0,afrobeat,1
Preciso de Teu Sorriso,189040,0,41,Dominguinhos,Chegando de Mansinho,0.592,0.723,5,-7.806,0.0386,0.561,0.0,0.251,0.924,155.894,4.0,forro,0
Sonate V Opus 236 Pour Violoncelle Et Piano - 3ème Mouvement,272320,0,0,Alireza Mashayekhi;Marie-Thérèse Grisenti;Marc Vitantonio;Duo Grisenti Vitantonio,A. Mashayekhi - 5 Sonates Pour Violoncelle Et Piano,0.438,0.108,2,-19.517,0.0525,0.989,0.64,0.111,0.0738,112.02,4.0,iranian,2
Breadth Digit (Glass Lung),115920,0,0,Ata Ebtekar,Persian Electronic Music Yesterday And Today1966-2006,0.329,0.649,1,-10.623,0.11,0.971,0.869,0.103,0.136,132.506,3.0,iranian,2
仮契約のシンデレラ,284160,0,29,Shiritsu Ebisu Chugaku,仮契約のシンデレラ(サブカル盤),0.491,0.978,9,-1.537,0.283,0.0569,0.00546,0.567,0.491,169.91,4.0,j-idol,1
你的名字 我的姓氏,301533,0,53,Jacky Cheung,Jacky Cheung 15,0.544,0.054,11,-18.767,0.0387,0.927,3.65e-05,0.107,0.115,131.713,3.0,mandopop,0
Discord,253483,0,26,Kvelertak;Nate Newton,Splid,0.259,0.981,4,-6.655,0.0967,2.88e-06,0.944,0.706,0.103,170.105,4.0,black-metal,3
So Seductive,192344,0,34,Matt Large,So Seductive,0.556,0.557,11,-5.171,0.11,0.0687,0.805,0.151,0.536,191.796,4.0,study,3
Fasle Gul,270632,0,48,Nusrat Fateh Ali Khan;A1Melodymaster,Reformed,0.695,0.711,0,-6.841,0.0395,0.0858,0.00211,0.0945,0.494,109.974,4.0,indian,1
催眠術(Acoustic version),194360,0,31,QUEEN BEE,火炎(Full Edition),0.737,0.589,8,-6.345,0.0291,0.762,0.0,0.343,0.745,99.957,4.0,j-dance,0
You've Made Me So Very Happy featuring Ria Currie,236013,0,15,Speedometer;Ria Currie,The Shakedown,0.678,0.71,1,-6.068,0.039,0.0262,2.53e-06,0.119,0.897,99.136,4.0,afrobeat,1
黃昏,344200,0,59,Steve Chou,Transfer,0.501,0.511,7,-9.836,0.0291,0.122,0.0,0.279,0.113,78.045,4.0,mandopop,1
Farley Knows House,268040,1,5,"Farley ""Jackmaster"" Funk","Farley ""Jackmaster"" Funk",0.806,0.914,1,-8.58,0.0504,0.00473,0.916,0.055,0.794,117.121,4.0,chicago-house,3
Relaxing Piano for Meditation,173998,0,34,Pedro Caceres,Sauna & Spa Music,0.248,0.0122,8,-29.458,0.0465,0.989,0.934,0.109,0.038,71.401,3.0,sleep,2
Desconectando el corazón,186086,0,31,Brock Ansiolitiko,Ver-S.O.S,0.603,0.521,7,-7.215,0.0647,0.929,8.49e-05,0.114,0.506,97.2,4.0,spanish,0
Na horda - Ao vivo,306961,0,49,O Rappa,O Rappa - Acústico Oficina Francisco Brennand (Deluxe) [Ao Vivo],0.581,0.857,7,-5.89,0.127,0.374,0.0462,0.96,0.697,140.885,4.0,brazil,1
Morning Brew,102788,0,18,Silk Mhake,Morning Brew,0.687,0.581,10,-10.357,0.0757,0.261,0.818,0.405,0.809,83.997,4.0,study,3
詞不達意,266466,0,44,Sandy Lam,呼吸 林憶蓮,0.495,0.432,3,-7.914,0.0307,0.144,1.4e-06,0.0977,0.182,126.276,4.0,mandopop,1
Old School Vibes,394440,0,20,Timo Maas,Loud (Eastwest Release),0.713,0.945,5,-7.787,0.0606,0.0219,0.926,0.0676,0.358,132.004,4.0,breakbeat,3
Endless Summer - Remastered,244640,0,11,Scooter,...And the Beat Goes On! (20 Years of Hardcore Expanded Edition),0.426,0.998,0,-5.845,0.17,0.0193,0.176,0.986,0.182,161.959,4.0,happy,1
Let's Move Some,287033,0,17,Neophyte,Happy Hardcore Top 100,0.633,0.933,8,-3.258,0.0706,0.000203,0.786,0.154,0.353,174.945,4.0,happy,3
Bottom Dollar,166000,0,27,Mile Twelve,Bottom Dollar,0.543,0.468,7,-8.643,0.0294,0.51,0.0297,0.311,0.443,135.071,4.0,bluegrass,0
Kings & Queens - James Carter Remix,136190,0,1,Ava Max;James Carter,EDM Hits,0.718,0.866,1,-5.55,0.0403,0.0048,5.64e-05,0.226,0.646,126.001,4.0,breakbeat,1
Carvings,156923,0,35,Dusty Decks,Disque Magique,0.534,0.19,0,-15.723,0.0853,0.976,0.899,0.386,0.331,78.094,4.0,study,2
Destroid 6 Put it Down - Mightyfools Remix,261562,0,12,Bassnectar;Excision;Mightyfools,Destroid - The Invasion Remixes,0.806,0.99,4,-3.574,0.233,0.00981,0.832,0.496,0.221,128.009,4.0,breakbeat,3
My Prayer (Yahweh),217446,0,45,CalledOut Music,My Prayer (Yahweh),0.583,0.31,5,-14.911,0.159,0.688,0.0,0.104,0.563,140.974,4.0,afrobeat,0
BLOT! - Ruminate,411428,0,15,BLOT!,BLOT! - Ruminate,0.8,0.8,9,-7.895,0.0388,0.00384,0.786,0.0694,0.719,105.004,4.0,techno,3
Não Pare Agora,269775,0,50,Cassiane,Não Pare Agora,0.521,0.534,2,-7.343,0.04,0.436,0.0,0.129,0.168,138.119,4.0,brazil,0
最強パレパレード,260573,0,20,Aya Hirano;茅原実里;後藤邑子,最強パレパレード,0.571,0.988,11,-3.588,0.131,0.0383,0.00288,0.0421,0.82,174.996,4.0,j-idol,1
Crazy life,210413,0,22,LOZAREENA,飛べないニケ,0.569,0.693,7,-6.627,0.253,0.483,0.0,0.13,0.369,79.615,4.0,j-dance,0
Mais Que Uma Voz,242005,0,26,Eyshila;Weslei Santos,Mais Que Uma Voz / A Ele a Glória,0.295,0.362,9,-5.63,0.0276,0.599,0.0,0.106,0.221,140.641,4.0,brazil,0
Seu Olhar Não Mente,214226,0,49,Flávio José,Seu Olhar Não Mente,0.521,0.78,0,-7.173,0.0383,0.00511,0.0,0.187,0.86,165.735,4.0,forro,1
在你身邊的我 (青春熱血競技偶像劇《青春拋物線》插曲),207025,0,32,Claire Kuo,青春熱血競技偶像劇《青春抛物線》原聲帶,0.667,0.233,11,-9.788,0.0304,0.793,1.23e-06,0.109,0.372,76.03,4.0,mandopop,0
Raabta (Kehte Hain Khuda Ne),289196,0,58,Pritam;Shreya Ghoshal;Arijit Singh,Agent Vinod,0.69,0.427,4,-6.831,0.0269,0.866,0.0,0.11,0.459,110.938,4.0,indian,0
Housetime! - Original Mix,157671,0,14,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.477,0.906,10,-3.082,0.0518,0.000146,0.0229,0.411,0.039,103.999,4.0,happy,1
Estrella Polar (with Juan Aguirre),211506,0,59,Pereza;Juan Aguirre,Aproximaciones,0.517,0.839,4,-3.957,0.0286,0.0296,0.000379,0.248,0.778,126.968,4.0,spanish,1
Ain't No Grave (Sparse),198313,0,37,Crooked Still;Aoife O'Donovan,Ain't No Grave,0.67,0.145,0,-12.772,0.0422,0.935,1.29e-05,0.0859,0.284,81.055,4.0,bluegrass,0
Personal Jesus,246680,0,61,Marilyn Manson,Personal Jesus,0.573,0.942,2,-5.259,0.124,0.000246,0.00514,0.524,0.278,130.147,4.0,industrial,1
If A War,221426,0,0,Bounty Killer,Nah No Mercy - The Warlord Scrolls,0.702,0.673,9,-7.018,0.364,0.49,0.0,0.143,0.53,115.212,5.0,j-dance,0
サブリミナル作戦,239453,0,21,Last Idol,愛しか武器がない (Special Edition),0.465,0.92,7,-2.665,0.0924,0.0235,1.05e-05,0.231,0.605,164.91,4.0,j-idol,1
爸我回來了,235640,0,45,Jay Chou,范特西,0.676,0.639,3,-7.008,0.102,0.0213,1.18e-05,0.502,0.342,76.01,4.0,mandopop,1
this wedding,163013,0,14,gnachos,this wedding,0.657,0.678,7,-11.907,0.193,0.713,0.922,0.117,0.448,145.997,4.0,study,2
Bossa Rosa,180779,0,34,Miso Colt,Bossa Rosa,0.604,0.385,8,-13.758,0.0424,0.758,0.861,0.181,0.952,77.011,4.0,study,2
贅沢ないいわけ,311680,0,21,PASSEPIED,娑婆ラバ,0.374,0.9,0,-2.984,0.0472,0.000339,0.0129,0.0999,0.411,177.891,4.0,j-idol,1
她說,318499,0,62,JJ Lin,她說,0.335,0.326,0,-7.223,0.0331,0.948,0.0,0.0619,0.326,169.267,4.0,mandopop,0
Sussurros na Fumaça,146016,1,44,Sain,Dose de Adrenalina,0.521,0.656,9,-5.347,0.245,0.699,0.0026,0.224,0.432,137.201,4.0,brazil,0
Kill You Tonight - Reprise,428026,1,25,Type O Negative,The Origin of the Feces (2007 Reissue),0.248,0.683,2,-12.139,0.113,0.000932,0.0344,0.394,0.0398,95.483,4.0,industrial,1
If I Can't Get Down - Luke Solomon's Extended Clubland Remix,340665,0,7,Mike Dunn;Luke Solomon,Glitterbox - Where Love Lives,0.788,0.841,7,-7.559,0.0697,0.0126,0.509,0.0537,0.618,124.008,4.0,chicago-house,3
Alter Ego,221933,0,14,Ryuji Imaichi,LIGHT>DARKNESS,0.391,0.713,8,-7.658,0.214,0.785,6.89e-06,0.157,0.188,104.959,4.0,j-dance,0
Psalms 35,156969,1,0,Vipa Music;Kenyaman,Psalms 35,0.636,0.731,6,-9.253,0.107,0.106,0.0,0.109,0.655,99.677,4.0,j-dance,1
We Are In The Dark,239400,1,4,Meccano Twins,We Are In The Dark,0.552,0.876,7,-3.603,0.0522,1.22e-05,0.00676,0.181,0.239,149.999,4.0,happy,1
Pray For A Star,234853,0,16,Felix Da Housecat,Kittenz And Thee Glitz,0.606,0.486,10,-10.198,0.027,0.0318,0.0401,0.0916,0.484,138.005,4.0,chicago-house,1
Serum 141,230600,1,16,LIK,Mass Funeral Evocation,0.19,0.967,7,-4.891,0.111,4.17e-06,0.247,0.375,0.289,87.243,4.0,black-metal,1
Unchain My Soul,320435,0,43,Dark Funeral,Where Shadows Forever Reign,0.421,0.999,4,-5.51,0.106,2.91e-05,0.167,0.0877,0.0271,114.076,4.0,black-metal,1
Chapter VI - The Tale of Creation within Her Being,342000,0,4,Crows in the Rain,You Are Dying in My Arms (the Frozen Last Gasps),0.16,0.0699,7,-18.234,0.035,0.982,0.925,0.157,0.0372,75.03,3.0,iranian,2
Pain,211278,1,26,Kraff Gad,Pain,0.628,0.591,9,-7.857,0.503,0.316,0.0,0.11,0.197,96.467,4.0,j-dance,1
Pra Que,356653,0,50,Voz da Verdade,Projeto no Deserto,0.483,0.331,4,-7.123,0.0267,0.733,2.65e-06,0.155,0.201,73.934,4.0,brazil,0
In Your Arms Tonight,211746,0,25,Sonicdriver,Happy Hardcore Top 100,0.586,0.758,2,-12.486,0.0472,0.00124,0.249,0.0633,0.49,166.021,4.0,happy,1
Money Controls Me,195205,0,12,Krafty Kuts;Veronica Blacklace;King Gordy,Let's Ride,0.749,0.756,9,-4.082,0.0368,0.0253,0.0,0.247,0.39,107.992,4.0,breakbeat,1
Online,213313,0,3,Kevi Jonny,Repertório Atualizado 2021,0.714,0.431,1,-10.246,0.103,0.199,0.0,0.0869,0.844,142.107,4.0,forro,1
Open Mind - Exclusive Remix,387973,0,14,Orbital,The Best Of Funky Alternatives,0.708,0.95,0,-12.18,0.0401,0.000336,0.804,0.0994,0.198,123.002,4.0,breakbeat,3
Song for Mountains,358866,0,40,Les Discrets,Septembre et ses dernières pensées,0.42,0.894,8,-6.813,0.0609,0.00714,0.526,0.336,0.198,139.967,3.0,black-metal,3
CHØKE ØN THE ASHES ØF YØUR HATE,246405,1,50,Machine Head,ØF KINGDØM AND CRØWN,0.511,0.992,1,-3.372,0.133,0.000186,0.00104,0.39,0.327,124.941,4.0,industrial,1
Back to Ghetto - Original Mix,352840,0,10,Paul Johnson,Second Coming 20th Years Anniversary Edition,0.784,0.956,1,-9.748,0.0474,0.22,0.837,0.105,0.207,127.379,4.0,chicago-house,3
Westminster,164333,0,39,Blue Boatz,Westminster,0.794,0.285,10,-7.763,0.0491,0.797,0.81,0.0882,0.6,90.052,4.0,study,2
Se Estamos Juntos,170200,0,39,Taryn Spilzman;Gabi Porto;Fábio Porchat;Raphael Rossatto,Olaf em Uma Nova Aventura Congelante de Frozen (Trilha Sonora Original em Português),0.459,0.327,11,-9.208,0.0299,0.762,0.0,0.0982,0.369,106.113,3.0,disney,0
Dr Duschanka,264499,0,17,LIK,Carnage,0.147,0.992,11,-4.652,0.0941,3.62e-06,0.0111,0.548,0.123,157.405,4.0,black-metal,1
Solar Halos,300852,0,5,Alphaxone,Edge of Solitude,0.108,0.374,0,-20.33,0.0407,0.788,0.914,0.0904,0.0877,173.694,4.0,iranian,2
Asphole,301746,0,23,Pigface,The Best Of Pigface,0.677,0.926,6,-8.585,0.0945,0.0116,4.61e-05,0.846,0.385,100.027,4.0,industrial,1
Te Pito o Te Henua,114073,0,43,Mazapán,De Norte a Sur,0.667,0.278,2,-11.925,0.0902,0.951,0.0,0.102,0.327,161.954,4.0,spanish,0
Philosophy by Numbers,399933,0,16,Orbital,Snivilisation,0.813,0.682,7,-10.977,0.183,0.166,0.795,0.191,0.412,119.985,4.0,breakbeat,3
Finished Symphony - Original,577106,0,13,Hybrid,Wide Angle,0.569,0.749,7,-9.986,0.0411,0.000654,0.781,0.937,0.125,132.008,4.0,breakbeat,3
大開眼戒,250934,0,48,Eason Chan,The Easy Ride,0.483,0.462,4,-7.247,0.0273,0.264,0.0,0.117,0.263,115.326,4.0,mandopop,0
Natural Rain,112558,0,19,Rain Sounds,Rainforest Sleep,0.0735,0.655,10,-22.082,0.0925,0.00425,0.818,0.555,0.0326,81.847,4.0,sleep,3
心動,231653,0,52,Kit Chan,重譯 陳潔儀,0.448,0.0926,2,-14.509,0.0455,0.977,1.05e-06,0.133,0.316,123.534,4.0,mandopop,0
Antiquity,197836,0,29,Purple Bike,Antiquity,0.701,0.468,9,-14.007,0.0752,0.569,0.823,0.111,0.289,87.988,4.0,study,2
Give us your money (feat. Superthriller),258104,1,20,Los Amigos Invisibles;Superthriller,Cool Love,0.776,0.793,7,-7.276,0.16,0.0702,7.82e-06,0.288,0.771,112.003,4.0,afrobeat,1
Seu Policia,182987,0,43,Silvanno Salles,O Cantor Apaixonado Volume 20,0.721,0.806,1,-3.281,0.0349,0.739,0.0,0.143,0.743,139.049,4.0,forro,0
Toda Forma de Amor,223733,0,47,Lulu Santos,Focus - O Essencial de Lulu Santos,0.676,0.832,9,-5.628,0.0357,0.14,7.5e-05,0.0758,0.83,137.87,4.0,brazil,1
Neverland,437760,0,21,Rafael Cerato;Giza Djs;Kinky Sound,Move,0.77,0.672,10,-7.926,0.0434,0.0195,0.917,0.108,0.274,125.003,4.0,techno,3
Schizophrenic - Remastered 2019,346666,0,20,Rotterdam Terror Corps,Schizophrenic,0.623,0.888,4,-5.442,0.169,0.000101,0.0911,0.599,0.0398,155.011,4.0,happy,1
Sunset Driver,197166,0,31,Vanilla Beach,Sunset Driver,0.714,0.203,2,-17.282,0.0575,0.615,0.808,0.109,0.352,90.023,4.0,study,2
Feito Louca - Ao Vivo,152215,0,42,Taty Girl,"Baú da Taty Girl, Pt. 1 (Ao Vivo)",0.549,0.913,4,-3.952,0.091,0.172,0.00011,0.0889,0.512,89.046,4.0,forro,1
A Força do Amor,192733,0,43,Banda Kassikó,Banda Kassikó,0.66,0.722,10,-5.698,0.0241,0.309,0.0,0.196,0.684,136.011,4.0,forro,1
Saga of the Evil Queen,430625,0,9,Larry Heard,"Dance 2000, Part 1",0.69,0.746,7,-11.247,0.0494,0.000123,0.663,0.0627,0.477,126.372,4.0,chicago-house,3
Cancion Fronteriza,201173,0,28,Carlos Sadness,Ciencias Celestes,0.55,0.563,4,-10.004,0.0345,0.353,0.187,0.111,0.305,101.034,4.0,spanish,0
"Mere Nishaan (From ""Oh My God"")",300719,0,52,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,0.586,0.524,1,-8.576,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,indian,0
ガラスを割れ!,222666,0,20,Keyakizaka46,ガラスを割れ!,0.424,0.929,1,-3.601,0.0925,0.119,0.0,0.289,0.548,81.984,4.0,j-idol,1
Mark of the Unnamed,239693,0,1,The Budos Band,The Budos Band III,0.622,0.797,7,-8.958,0.0312,0.117,0.909,0.16,0.795,114.822,4.0,afrobeat,3
Tame the Beats,202466,0,20,Ikebe Shakedown,Ikebe Shakedown,0.826,0.744,8,-8.207,0.0528,0.396,0.901,0.0672,0.977,144.981,4.0,afrobeat,3
Presbyterian Guitar,208000,0,22,Bryan Sutton,The More I Learn,0.706,0.114,9,-17.386,0.0448,0.937,0.935,0.122,0.16,130.725,4.0,bluegrass,2
13日の金曜日,222866,0,18,Nogizaka46,君の名は希望 TypeB,0.553,0.842,5,-3.303,0.0427,0.393,0.0,0.0461,0.93,197.14,4.0,j-idol,1
Pio - Mixed,351487,0,16,Monolake,DJ-Kicks (DJ Tennis) [DJ Mix],0.8,0.336,0,-16.054,0.0684,0.000642,0.869,0.133,0.6,120.863,5.0,idm,3
還在流浪,265813,0,58,Jay Chou,最偉大的作品,0.624,0.549,1,-7.4,0.0329,0.109,0.000499,0.11,0.115,165.991,3.0,mandopop,1
サヨナラの意味,299040,0,27,Nogizaka46,Time flies (Complete Edition),0.499,0.765,0,-3.358,0.0312,0.237,7.65e-06,0.226,0.589,126.98,4.0,j-idol,1
What's My Name,199268,1,11,Simpleton;Mark Topsecret,What's My Name,0.723,0.855,0,-3.619,0.192,0.0934,0.0,0.274,0.711,90.998,4.0,j-dance,1
再生する細胞,261972,0,28,Keyakizaka46,風に吹かれても (Special Edition),0.426,0.687,4,-3.982,0.0344,0.591,4.77e-06,0.266,0.217,149.876,4.0,j-idol,0
Beach at Midnight,108148,0,2,Almo X,Night Shift,0.634,0.215,0,-14.554,0.0354,0.759,0.913,0.109,0.123,80.942,4.0,study,2
Under The Double Eagle,164466,0,19,Norman Blake,Whiskey Before Breakfast,0.345,0.397,0,-18.194,0.0415,0.653,0.964,0.304,0.855,112.821,4.0,bluegrass,2
Nattljus,199250,0,55,Månvarv,Nattljus,0.0709,0.0235,0,-34.208,0.0408,0.964,0.904,0.0853,0.0519,75.607,3.0,sleep,2
In The Deep,126000,0,33,Wasted Glitter,In The Deep,0.751,0.279,0,-10.778,0.0321,0.835,0.962,0.135,0.379,80.008,4.0,study,2
如果沒有你,287013,0,55,Karen Mok,如果沒有你,0.507,0.281,11,-11.657,0.0307,0.758,0.0,0.211,0.264,125.893,4.0,mandopop,0
'98 To Piano [Mix Cut] - Original Mix,41600,0,34,Forze DJ Team,Qlimax 2010 - In An Alternate Reality,0.584,0.977,8,-3.418,0.0372,0.00333,0.973,0.27,0.0375,77.266,4.0,happy,3
Machines of the Subconscious,176804,0,0,The Future Sound Of London,Environment Five,0.755,0.41,8,-16.203,0.0399,0.211,0.841,0.124,0.505,148.026,4.0,breakbeat,3
